NOMOD,MINOR,MAJOR
22529310,22530424,22523355
22529327,22530471,22523361
22529330,22530489,22523379
22529357,22530510,22523382
22529363,22530569,22523403
22529363,22530581,22523408
22529378,22530611,22523417
22529378,22530626,22523435
22529381,22530656,22523483
22529381,22530662,22523492
22529384,22530683,22523501
22529431,22530689,22523504
22529440,22530727,22523528
22529440,22530730,22523528
22529441,22530736,22523563
22529443,22530736,22523572
22529452,22530739,22523581
22529467,22530763,22523587
22529473,22530781,22523605
22529494,22530829,22523608
22529509,22530840,22523617
22529509,22530843,22523668
22529518,22530843,22523688
22529527,22530873,22523691
22529545,22530891,22523713
22529551,22530915,22523751
22529559,22530924,22523760
22529566,22530927,22523760
22529590,22530927,22523799
22529601,22530930,22523814
22529610,22530933,22523831
22529622,22530933,22523903
22529640,22530947,22523912
22529640,22530960,22523918
22529670,22530960,22523918
22529700,22530960,22523948
22529708,22530980,22523966
22529720,22530989,22523968
22529738,22530995,22523978
22529744,22530999,22523992
22529748,22531004,22523998
22529756,22531004,22524001
22529777,22531019,22524007
22529780,22531040,22524013
22529804,22531052,22524016
22529827,22531055,22524019
22529836,22531061,22524037
22529855,22531064,22524037
22529890,22531082,22524067
22529899,22531094,22524088
22529917,22531138,22524091
22529935,22531171,22524102
22529970,22531198,22524109
22529977,22531215,22524141
22529991,22531216,22524141
22530001,22531222,22524156
22530012,22531230,22524171
22530018,22531242,22524204
22530021,22531243,22524210
22530022,22531245,22524224
22530025,22531287,22524231
22530036,22531296,22524236
22530036,22531299,22524240
22530036,22531317,22524246
22530048,22531329,22524258
22530084,22531332,22524260
22530093,22531338,22524269
22530105,22531353,22524272
22530110,22531382,22524290
22530113,22531412,22524299
22530119,22531427,22524302
22530141,22531433,22524326
22530153,22531436,22524338
22530161,22531457,22524350
22530179,22531481,22524356
22530221,22531505,22524392
22530233,22531513,22524397
22530236,22531528,22524397
22530242,22531531,22524403
22530244,22531537,22524424
22530248,22531537,22524427
22530251,22531552,22524439
22530283,22531576,22524442
22530304,22531579,22524460
22530337,22531582,22524463
22530355,22531591,22524466
22530373,22531600,22524469
22530396,22531627,22524478
22530397,22531630,22524481
22530420,22531630,22524525
22530441,22531633,22524528
22530447,22531651,22524541
22530459,22531666,22524544
22530471,22531686,22524546
22530495,22531713,22524552
22530498,22531713,22524558
22530513,22531716,22524570
22530537,22531728,22524570
22530543,22531755,22524612
22530546,22531785,22524615
22530549,22531788,22524624
22530554,22531796,22524627
22530557,22531800,22524666
22530558,22531803,22524666
22530563,22531803,22524695
22530581,22531835,22524704
22530593,22531865,22524713
22530593,22531880,22524719
22530596,22531886,22524731
22530599,22531895,22524731
22530611,22531913,22524767
22530644,22531924,22524826
22530659,22531930,22524832
22530685,22531937,22524832
22530688,22531948,22524847
22530707,22531951,22524850
22530742,22531955,22524859
22530760,22531972,22524859
22530766,22531984,22524862
22530778,22531984,22524865
22530778,22532005,22524868
22530781,22532023,22524874
22530787,22532044,22524880
22530813,22532050,22524883
22530813,22532079,22524910
22530826,22532080,22524918
22530834,22532083,22524928
22530835,22532086,22524937
22530837,22532091,22524942
22530855,22532101,22524957
22530855,22532103,22524993
22530864,22532109,22524996
22530873,22532109,22525002
22530873,22532115,22525008
22530885,22532118,22525014
22530888,22532124,22525014
22530894,22532130,22525014
22530900,22532142,22525050
22530909,22532142,22525085
22530915,22532148,22525109
22530938,22532148,22525121
22530951,22532154,22525133
22530966,22532166,22525154
22530975,22532166,22525160
22530977,22532187,22525169
22530980,22532187,22525172
22530987,22532190,22525178
22530993,22532199,22525190
22530995,22532231,22525208
22531001,22532246,22525214
22531007,22532247,22525216
22531040,22532253,22525219
22531070,22532262,22525220
22531070,22532285,22525279
22531106,22532294,22525279
22531115,22532327,22525282
22531121,22532330,22525291
22531123,22532330,22525297
22531123,22532345,22525315
22531141,22532384,22525321
22531156,22532395,22525345
22531159,22532425,22525347
22531171,22532428,22525354
22531180,22532437,22525374
22531192,22532452,22525392
22531228,22532458,22525398
22531257,22532475,22525410
22531260,22532482,22525419
22531261,22532491,22525422
22531281,22532503,22525434
22531299,22532505,22525443
22531311,22532517,22525443
22531326,22532526,22525455
22531347,22532568,22525461
22531353,22532577,22525482
22531353,22532586,22525485
22531359,22532592,22525497
22531362,22532610,22525509
22531373,22532631,22525518
22531376,22532639,22525529
22531380,22532652,22525529
22531382,22532666,22525533
22531383,22532684,22525586
22531385,22532684,22525589
22531386,22532693,22525592
22531386,22532696,22525598
22531389,22532696,22525604
22531395,22532696,22525607
22531397,22532699,22525607
22531400,22532711,22525613
22531409,22532711,22525613
22531430,22532720,22525619
22531448,22532729,22525622
22531481,22532732,22525625
22531487,22532756,22525631
22531505,22532756,22525634
22531579,22532765,22525642
22531582,22532795,22525663
22531585,22532809,22525670
22531594,22532809,22525675
22531606,22532815,22525696
22531615,22532830,22525705
22531618,22532842,22525714
22531650,22532845,22525720
22531651,22532854,22525732
22531659,22532904,22525747
22531668,22532905,22525770
22531671,22532934,22525783
22531677,22532961,22525791
22531689,22532961,22525810
22531696,22532967,22525812
22531701,22532973,22525816
22531707,22532973,22525816
22531728,22533012,22525839
22531740,22533018,22525842
22531740,22533042,22525854
22531755,22533060,22525857
22531773,22533074,22525872
22531803,22533092,22525884
22531820,22533122,22525890
22531820,22533125,22525923
22531823,22533128,22525931
22531856,22533134,22525931
22531862,22533137,22525941
22531868,22533137,22525946
22531877,22533143,22525967
22531883,22533143,22525967
22531898,22533152,22525973
22531916,22533155,22525988
22531934,22533155,22525991
22531936,22533158,22526006
22531946,22533158,22526044
22531946,22533167,22526051
22531963,22533167,22526056
22531969,22533206,22526062
22531978,22533211,22526098
22531987,22533217,22526105
22531993,22533221,22526122
22531993,22533223,22526122
22532017,22533241,22526125
22532026,22533250,22526137
22532029,22533256,22526146
22532029,22533259,22526146
22532032,22533262,22526158
22532041,22533262,22526196
22532050,22533295,22526202
22532064,22533316,22526214
22532074,22533351,22526220
22532097,22533358,22526224
22532101,22533369,22526227
22532106,22533381,22526256
22532109,22533393,22526262
22532112,22533402,22526265
22532121,22533417,22526283
22532148,22533423,22526310
22532166,22533426,22526313
22532181,22533435,22526322
22532187,22533435,22526328
22532187,22533435,22526331
22532214,22533435,22526351
22532214,22533476,22526354
22532220,22533488,22526372
22532229,22533492,22526373
22532235,22533495,22526390
22532237,22533501,22526399
22532243,22533507,22526411
22532243,22533521,22526411
22532250,22533533,22526420
22532255,22533536,22526435
22532258,22533542,22526444
22532262,22533545,22526447
22532273,22533560,22526447
22532273,22533572,22526462
22532297,22533584,22526462
22532303,22533596,22526479
22532306,22533605,22526480
22532309,22533617,22526486
22532312,22533617,22526491
22532315,22533623,22526494
22532332,22533626,22526503
22532333,22533635,22526509
22532339,22533640,22526512
22532345,22533682,22526530
22532347,22533685,22526548
22532359,22533700,22526548
22532372,22533709,22526551
22532374,22533709,22526566
22532407,22533733,22526587
22532410,22533745,22526608
22532413,22533756,22526610
22532428,22533780,22526626
22532434,22533789,22526649
22532455,22533798,22526670
22532455,22533801,22526670
22532461,22533861,22526682
22532482,22533882,22526712
22532491,22533903,22526721
22532506,22533935,22526730
22532515,22533944,22526745
22532529,22533947,22526745
22532529,22533947,22526747
22532544,22533965,22526747
22532553,22533965,22526748
22532553,22533968,22526775
22532571,22533977,22526798
22532598,22533992,22526804
22532604,22533995,22526805
22532687,22534007,22526813
22532696,22534022,22526822
22532711,22534075,22526840
22532714,22534093,22526879
22532714,22534111,22526885
22532717,22534117,22526899
22532720,22534120,22526902
22532726,22534123,22526903
22532729,22534126,22526912
22532729,22534129,22526920
22532738,22534138,22526932
22532738,22534150,22526935
22532744,22534159,22526941
22532771,22534168,22526944
22532779,22534174,22526947
22532789,22534183,22526959
22532806,22534186,22526959
22532845,22534192,22526974
22532863,22534194,22526980
22532872,22534194,22526995
22532881,22534194,22527030
22532899,22534206,22527033
22532902,22534221,22527036
22532904,22534221,22527048
22532923,22534233,22527061
22532946,22534242,22527073
22532970,22534245,22527081
22532982,22534248,22527084
22532985,22534257,22527087
22532994,22534293,22527093
22533003,22534314,22527108
22533015,22534367,22527114
22533018,22534391,22527117
22533027,22534406,22527123
22533027,22534412,22527126
22533032,22534415,22527132
22533033,22534436,22527135
22533038,22534445,22527147
22533077,22534457,22527153
22533095,22534462,22527177
22533113,22534465,22527192
22533113,22534472,22527206
22533122,22534475,22527210
22533146,22534483,22527218
22533152,22534504,22527219
22533161,22534508,22527224
22533164,22534531,22527236
22533167,22534540,22527242
22533193,22534552,22527242
22533196,22534567,22527248
22533209,22534573,22527269
22533218,22534573,22527278
22533220,22534587,22527281
22533221,22534596,22527284
22533223,22534600,22527284
22533241,22534614,22527311
22533262,22534618,22527335
22533265,22534656,22527340
22533277,22534671,22527341
22533289,22534686,22527361
22533289,22534704,22527361
22533295,22534707,22527367
22533298,22534719,22527391
22533301,22534724,22527394
22533316,22534725,22527418
22533328,22534730,22527433
22533334,22534731,22527445
22533337,22534734,22527448
22533352,22534740,22527448
22533354,22534766,22527453
22533358,22534766,22527462
22533360,22534772,22527469
22533363,22534776,22527480
22533366,22534778,22527489
22533372,22534799,22527492
22533375,22534808,22527502
22533381,22534829,22527522
22533390,22534850,22527525
22533390,22534853,22527525
22533402,22534853,22527540
22533417,22534868,22527543
22533465,22534891,22527543
22533468,22534892,22527549
22533491,22534909,22527561
22533515,22534912,22527564
22533516,22534918,22527570
22533536,22534927,22527572
22533563,22534930,22527582
22533575,22534942,22527591
22533581,22534948,22527596
22533608,22534951,22527609
22533614,22534957,22527629
22533620,22534972,22527630
22533631,22534990,22527641
22533652,22535005,22527656
22533655,22535005,22527659
22533670,22535026,22527662
22533682,22535029,22527668
22533682,22535037,22527668
22533688,22535079,22527671
22533700,22535082,22527674
22533706,22535085,22527674
22533712,22535103,22527677
22533712,22535124,22527680
22533718,22535127,22527698
22533721,22535133,22527713
22533724,22535156,22527719
22533724,22535156,22527721
22533726,22535186,22527731
22533730,22535189,22527736
22533739,22535195,22527748
22533739,22535195,22527784
22533751,22535201,22527805
22533760,22535202,22527814
22533765,22535205,22527814
22533778,22535231,22527820
22533786,22535237,22527835
22533787,22535249,22527838
22533816,22535261,22527862
22533843,22535267,22527894
22533849,22535282,22527900
22533849,22535285,22527928
22533855,22535296,22527939
22533884,22535297,22527948
22533891,22535302,22527960
22533897,22535305,22527963
22533899,22535311,22527966
22533909,22535333,22527975
22533935,22535339,22527978
22533938,22535344,22527984
22533938,22535347,22528010
22533939,22535356,22528037
22533939,22535380,22528046
22533956,22535386,22528050
22533983,22535389,22528056
22533992,22535425,22528070
22533998,22535425,22528085
22534016,22535425,22528091
22534022,22535448,22528133
22534033,22535460,22528136
22534040,22535487,22528178
22534049,22535508,22528180
22534057,22535529,22528184
22534093,22535544,22528189
22534093,22535544,22528192
22534096,22535549,22528199
22534099,22535550,22528207
22534102,22535564,22528207
22534105,22535565,22528225
22534108,22535577,22528228
22534129,22535588,22528258
22534138,22535636,22528258
22534149,22535666,22528300
22534203,22535672,22528308
22534227,22535675,22528311
22534230,22535720,22528315
22534230,22535728,22528338
22534233,22535749,22528356
22534239,22535756,22528362
22534248,22535759,22528365
22534254,22535764,22528371
22534257,22535776,22528374
22534292,22535776,22528383
22534326,22535776,22528383
22534328,22535782,22528398
22534329,22535791,22528404
22534338,22535794,22528404
22534340,22535800,22528407
22534346,22535815,22528410
22534358,22535853,22528472
22534361,22535853,22528478
22534364,22535875,22528478
22534370,22535877,22528487
22534385,22535877,22528496
22534385,22535886,22528502
22534409,22535934,22528505
22534418,22535964,22528508
22534424,22535967,22528523
22534427,22535967,22528523
22534442,22535976,22528529
22534466,22535979,22528544
22534483,22535985,22528571
22534483,22535987,22528589
22534493,22535991,22528601
22534508,22536018,22528612
22534513,22536029,22528627
22534516,22536033,22528627
22534516,22536041,22528627
22534531,22536047,22528630
22534549,22536050,22528645
22534558,22536062,22528648
22534576,22536065,22528648
22534600,22536068,22528654
22534600,22536077,22528678
22534614,22536077,22528678
22534614,22536083,22528696
22534641,22536092,22528699
22534647,22536095,22528708
22534680,22536095,22528717
22534683,22536098,22528720
22534683,22536098,22528749
22534689,22536101,22528755
22534692,22536107,22528764
22534698,22536107,22528767
22534707,22536116,22528776
22534719,22536124,22528785
22534725,22536125,22528791
22534740,22536128,22528806
22534757,22536133,22528815
22534758,22536145,22528830
22534764,22536170,22528833
22534779,22536175,22528851
22534781,22536179,22528863
22534790,22536193,22528871
22534817,22536208,22528874
