0-BINSEARCH[56](2020){1},0-BINSEARCH[56](2020){4095},0-BINSEARCH[56](2020){2048},0-BINSEARCH[56](2020){1792},0-BINSEARCH[56](2020){1920},0-BINSEARCH[56](2020){1984},0-BINSEARCH[56](2020){2048},0-BINSEARCH[56](2020){2016},0-BINSEARCH[56](2020){2032},0-BINSEARCH[56](2020){2024},0-BINSEARCH[56](2020){1},0-BINSEARCH[56](2020){4095},0-BINSEARCH[56](2020){2048},0-BINSEARCH[56](2020){1792},0-BINSEARCH[56](2020){1920},0-BINSEARCH[56](2020){1984},0-BINSEARCH[56](2020){2048},0-BINSEARCH[56](2020){2016},0-BINSEARCH[56](2020){2032},0-BINSEARCH[56](2020){2024},0-BINSEARCH[56](2020){2020},0-BINSEARCH[56](2020){2016},0-BINSEARCH[56](2020){2018},0-BINSEARCH[56](2020){2019},0-BINSEARCH[57](1900){1},0-BINSEARCH[57](1900){4095},0-BINSEARCH[57](1900){2048},0-BINSEARCH[57](1900){1792},0-BINSEARCH[57](1900){1},0-BINSEARCH[57](1900){4095},0-BINSEARCH[57](1900){2048},0-BINSEARCH[57](1900){1792},0-BINSEARCH[57](1900){1920},0-BINSEARCH[57](1900){1856},0-BINSEARCH[57](1900){1888},0-BINSEARCH[57](1900){1904},0-BINSEARCH[57](1900){1896},0-BINSEARCH[57](1900){1},0-BINSEARCH[57](1900){4095},0-BINSEARCH[57](1900){2048}
12638628,12634465,12635620,12639811,12639384,12639369,12636057,12639847,12635357,12635270,12638720,12634130,12634751,12639466,12640105,12639760,12635556,12640851,12636532,12635543,12634907,12640174,12640133,12639875,12639034,12634329,12635413,12640399,12638771,12634447,12635413,12640151,12635464,12640202,12639806,12635837,12638776,12637396,12632456,12633522
12638628,12634470,12635625,12639811,12639415,12639374,12636067,12639849,12635367,12635270,12638725,12634140,12634751,12639466,12640110,12639760,12635561,12640851,12636532,12635543,12634912,12640174,12640138,12639880,12639034,12634332,12635413,12640404,12638771,12634447,12635418,12640151,12635469,12640212,12639811,12635837,12638781,12637396,12632464,12633522
12638638,12634470,12635625,12639811,12639430,12639379,12636067,12639852,12635380,12635288,12638738,12634153,12634756,12639471,12640118,12639765,12635566,12640861,12636545,12635543,12634912,12640174,12640143,12639885,12639037,12634332,12635418,12640404,12638776,12634457,12635418,12640156,12635469,12640215,12639819,12635850,12638784,12637401,12632464,12633522
12638638,12634475,12635635,12639819,12639435,12639384,12636080,12639857,12635385,12635298,12638743,12634153,12634756,12639471,12640120,12639765,12635579,12640864,12636555,12635551,12634912,12640187,12640161,12639885,12639039,12634337,12635423,12640414,12638781,12634470,12635423,12640156,12635472,12640220,12639821,12635855,12638786,12637404,12632464,12633527
12638643,12634475,12635635,12639824,12639438,12639384,12636093,12639865,12635385,12635298,12638753,12634163,12634761,12639476,12640128,12639765,12635579,12640874,12636555,12635556,12634917,12640192,12640179,12639890,12639044,12634337,12635431,12640419,12638781,12634475,12635423,12640156,12635474,12640225,12639824,12635855,12638794,12637406,12632469,12633527
12638643,12634480,12635640,12639839,12639443,12639392,12636098,12639870,12635395,12635303,12638753,12634163,12634774,12639476,12640138,12639773,12635579,12640879,12636563,12635571,12634920,12640207,12640189,12639903,12639047,12634337,12635436,12640422,12638786,12634475,12635428,12640174,12635477,12640235,12639826,12635860,12638809,12637406,12632474,12633532
12638646,12634480,12635643,12639844,12639448,12639397,12636100,12639875,12635395,12635311,12638753,12634166,12634774,12639479,12640151,12639793,12635587,12640892,12636563,12635574,12634925,12640238,12640189,12639903,12639052,12634337,12635454,12640424,12638789,12634475,12635428,12640174,12635479,12640238,12639834,12635868,12638809,12637409,12632474,12633542
12638646,12634488,12635653,12639849,12639451,12639397,12636108,12639898,12635400,12635326,12638761,12634168,12634774,12639481,12640156,12639801,12635589,12640897,12636578,12635574,12634925,12640248,12640189,12639908,12639057,12634337,12635456,12640427,12638789,12634485,12635436,12640179,12635482,12640248,12639834,12635878,12638822,12637411,12632479,12633545
12638648,12634493,12635658,12639852,12639458,12639402,12636116,12639898,12635403,12635326,12638766,12634176,12634774,12639497,12640156,12639801,12635589,12640900,12636591,12635579,12634930,12640248,12640197,12639908,12639057,12634337,12635459,12640432,12638791,12634490,12635441,12640189,12635492,12640253,12639847,12635883,12638822,12637414,12632482,12633550
12638648,12634498,12635671,12639857,12639461,12639405,12636118,12639898,12635405,12635326,12638771,12634176,12634779,12639507,12640169,12639811,12635602,12640910,12636596,12635579,12634935,12640261,12640197,12639913,12639057,12634342,12635464,12640432,12638794,12634493,12635441,12640192,12635502,12640258,12639852,12635891,12638827,12637414,12632482,12633550
12638651,12634503,12635676,12639865,12639461,12639407,12636126,12639903,12635413,12635331,12638771,12634176,12634784,12639512,12640171,12639811,12635602,12640915,12636601,12635579,12634935,12640263,12640207,12639934,12639062,12634350,12635474,12640432,12638794,12634493,12635446,12640202,12635505,12640266,12639870,12635891,12638837,12637419,12632484,12633555
12638656,12634508,12635681,12639880,12639466,12639407,12636131,12639908,12635413,12635331,12638776,12634176,12634792,12639512,12640179,12639821,12635602,12640915,12636614,12635584,12634940,12640271,12640207,12639939,12639075,12634350,12635477,12640442,12638794,12634493,12635449,12640210,12635515,12640281,12639875,12635891,12638850,12637424,12632484,12633560
12638661,12634516,12635694,12639885,12639474,12639410,12636131,12639908,12635423,12635339,12638781,12634181,12634797,12639517,12640184,12639829,12635607,12640915,12636632,12635584,12634943,12640271,12640212,12639944,12639075,12634355,12635482,12640460,12638799,12634498,12635451,12640225,12635518,12640286,12639880,12635896,12638850,12637424,12632487,12633565
12638661,12634521,12635699,12639898,12639476,12639415,12636136,12639921,12635423,12635344,12638784,12634189,12634797,12639517,12640184,12639829,12635610,12640930,12636642,12635589,12634943,12640271,12640220,12639954,12639080,12634355,12635492,12640465,12638799,12634503,12635451,12640225,12635520,12640289,12639885,12635896,12638855,12637424,12632492,12633568
12638661,12634529,12635699,12639903,12639484,12639428,12636139,12639926,12635426,12635349,12638786,12634191,12634802,12639530,12640189,12639829,12635612,12640933,12636642,12635592,12634945,12640271,12640220,12639954,12639080,12634360,12635505,12640470,12638799,12634503,12635456,12640235,12635523,12640294,12639885,12635896,12638858,12637434,12632492,12633568
12638661,12634531,12635707,12639903,12639484,12639435,12636144,12639926,12635428,12635357,12638786,12634194,12634802,12639535,12640189,12639834,12635620,12640938,12636650,12635607,12634945,12640279,12640220,12639972,12639088,12634360,12635510,12640478,12638799,12634511,12635459,12640238,12635528,12640299,12639890,12635906,12638858,12637437,12632497,12633573
12638661,12634534,12635725,12639911,12639489,12639438,12636159,12639931,12635431,12635359,12638789,12634199,12634802,12639540,12640192,12639834,12635620,12640943,12636655,12635615,12634948,12640284,12640225,12639987,12639093,12634365,12635510,12640478,12638799,12634516,12635459,12640238,12635538,12640299,12639890,12635906,12638858,12637442,12632497,12633578
12638666,12634534,12635727,12639913,12639494,12639438,12636167,12639931,12635441,12635372,12638791,12634217,12634805,12639545,12640197,12639839,12635625,12640943,12636660,12635617,12634953,12640284,12640230,12639995,12639093,12634370,12635533,12640491,12638809,12634521,12635459,12640243,12635546,12640307,12639893,12635911,12638858,12637442,12632502,12633583
12638671,12634549,12635735,12639936,12639504,12639448,12636177,12639934,12635441,12635377,12638794,12634217,12634807,12639553,12640197,12639839,12635635,12640956,12636688,12635625,12634963,12640289,12640235,12639995,12639098,12634378,12635548,12640501,12638809,12634521,12635464,12640243,12635551,12640312,12639893,12635914,12638858,12637442,12632502,12633586
12638674,12634549,12635735,12639939,12639512,12639448,12636195,12639936,12635441,12635382,12638794,12634222,12634807,12639558,12640197,12639844,12635638,12640961,12636711,12635643,12634971,12640289,12640248,12640000,12639103,12634388,12635548,12640509,12638812,12634521,12635474,12640248,12635556,12640312,12639898,12635914,12638860,12637447,12632502,12633588
12638679,12634557,12635740,12639944,12639517,12639448,12636223,12639941,12635441,12635387,12638799,12634222,12634812,12639571,12640202,12639847,12635640,12640966,12636711,12635643,12634976,12640289,12640258,12640013,12639108,12634388,12635556,12640511,12638812,12634521,12635482,12640248,12635561,12640317,12639898,12635916,12638860,12637450,12632502,12633596
12638699,12634562,12635745,12639949,12639520,12639453,12636233,12639944,12635441,12635390,12638804,12634227,12634815,12639576,12640202,12639852,12635643,12640974,12636739,12635643,12634981,12640289,12640284,12640013,12639108,12634391,12635561,12640514,12638817,12634526,12635497,12640248,12635566,12640322,12639898,12635929,12638863,12637452,12632505,12633611
12638707,12634572,12635763,12639959,12639522,12639453,12636236,12639949,12635446,12635400,12638807,12634227,12634820,12639576,12640202,12639852,12635643,12640979,12636747,12635653,12634986,12640294,12640284,12640018,12639116,12634393,12635561,12640524,12638817,12634526,12635500,12640248,12635574,12640325,12639898,12635932,12638868,12637455,12632510,12633616
12638712,12634572,12635768,12639962,12639522,12639453,12636251,12639954,12635451,12635413,12638807,12634232,12634820,12639581,12640212,12639857,12635658,12640984,12636752,12635656,12634986,12640299,12640302,12640028,12639116,12634396,12635561,12640529,12638822,12634534,12635510,12640248,12635574,12640330,12639918,12635942,12638883,12637455,12632512,12633616
12638715,12634577,12635768,12639962,12639522,12639456,12636259,12639959,12635464,12635413,12638809,12634232,12634825,12639581,12640220,12639870,12635661,12640984,12636752,12635656,12634986,12640299,12640304,12640028,12639116,12634401,12635564,12640532,12638822,12634539,12635518,12640258,12635579,12640332,12639926,12635947,12638886,12637460,12632512,12633619
12638722,12634580,12635771,12639967,12639525,12639461,12636287,12639962,12635472,12635423,12638812,12634235,12634825,12639586,12640225,12639872,12635663,12640989,12636770,12635658,12634989,12640299,12640309,12640046,12639116,12634414,12635564,12640537,12638822,12634544,12635528,12640263,12635587,12640345,12639931,12635947,12638891,12637460,12632515,12633624
12638725,12634582,12635776,12639972,12639530,12639476,12636300,12639967,12635482,12635423,12638812,12634240,12634830,12639586,12640230,12639875,12635671,12640989,12636780,12635661,12634989,12640312,12640312,12640059,12639116,12634416,12635574,12640542,12638827,12634544,12635533,12640271,12635610,12640345,12639939,12635947,12638909,12637460,12632515,12633629
12638725,12634585,12635786,12639972,12639535,12639479,12636302,12639967,12635482,12635423,12638817,12634245,12634835,12639586,12640233,12639880,12635694,12640992,12636783,12635661,12634991,12640317,12640327,12640059,12639121,12634424,12635574,12640552,12638832,12634549,12635538,12640276,12635612,12640353,12639944,12635955,12638914,12637460,12632520,12633632
12638725,12634590,12635796,12639980,12639535,12639489,12636307,12639977,12635482,12635431,12638822,12634245,12634853,12639589,12640235,12639898,12635694,12640992,12636785,12635671,12634994,12640327,12640332,12640059,12639121,12634439,12635579,12640570,12638835,12634552,12635551,12640281,12635630,12640358,12639949,12635957,12638919,12637460,12632520,12633634
12638730,12634590,12635801,12639987,12639535,12639494,12636310,12639980,12635502,12635431,12638822,12634245,12634874,12639594,12640248,12639898,12635694,12640994,12636811,12635676,12635009,12640330,12640335,12640064,12639126,12634442,12635584,12640570,12638835,12634567,12635566,12640286,12635630,12640363,12639949,12635957,12638927,12637460,12632525,12633637
12638730,12634595,12635814,12639987,12639540,12639504,12636315,12639985,12635510,12635433,12638822,12634268,12634899,12639599,12640248,12639903,12635707,12640997,12636813,12635676,12635009,12640330,12640340,12640069,12639139,12634452,12635589,12640570,12638840,12634567,12635571,12640286,12635638,12640363,12639957,12635960,12638929,12637465,12632525,12633637
12638735,12634595,12635817,12639995,12639540,12639507,12636315,12639987,12635510,12635433,12638827,12634268,12634902,12639599,12640248,12639903,12635707,12640997,12636816,12635681,12635009,12640335,12640340,12640074,12639144,12634452,12635597,12640570,12638845,12634567,12635574,12640294,12635643,12640376,12639962,12635962,12638937,12637465,12632525,12633647
12638740,12634600,12635819,12639995,12639543,12639512,12636315,12639995,12635510,12635441,12638827,12634268,12634902,12639609,12640253,12639908,12635712,12641007,12636816,12635686,12635014,12640340,12640340,12640079,12639144,12634452,12635612,12640575,12638845,12634572,12635579,12640294,12635648,12640391,12639964,12635962,12638937,12637465,12632525,12633647
12638753,12634600,12635822,12640008,12639545,12639517,12636325,12639995,12635525,12635441,12638830,12634268,12634917,12639612,12640256,12639908,12635717,12641007,12636839,12635689,12635022,12640345,12640348,12640105,12639149,12634457,12635612,12640575,12638850,12634572,12635584,12640294,12635661,12640399,12639977,12635965,12638942,12637465,12632525,12633652
12638753,12634600,12635824,12640008,12639545,12639517,12636338,12640000,12635528,12635441,12638832,12634276,12634922,12639612,12640276,12639911,12635717,12641017,12636849,12635689,12635027,12640353,12640350,12640110,12639149,12634465,12635612,12640578,12638850,12634577,12635589,12640299,12635666,12640404,12639990,12635965,12638942,12637465,12632525,12633652
12638753,12634608,12635827,12640013,12639563,12639517,12636338,12640008,12635528,12635441,12638832,12634278,12634925,12639627,12640276,12639913,12635727,12641022,12636885,12635699,12635032,12640353,12640363,12640110,12639149,12634467,12635625,12640580,12638855,12634577,12635592,12640317,12635671,12640414,12639995,12635965,12638942,12637465,12632528,12633652
12638753,12634613,12635832,12640018,12639563,12639520,12636343,12640010,12635533,12635446,12638832,12634286,12634925,12639627,12640279,12639913,12635727,12641025,12636890,12635699,12635035,12640353,12640368,12640110,12639157,12634470,12635630,12640588,12638858,12634577,12635594,12640317,12635676,12640419,12640005,12635965,12638947,12637470,12632528,12633655
12638758,12634613,12635837,12640018,12639568,12639525,12636346,12640018,12635538,12635449,12638840,12634286,12634927,12639627,12640281,12639918,12635730,12641030,12636895,12635704,12635040,12640358,12640376,12640115,12639162,12634475,12635630,12640593,12638863,12634580,12635597,12640317,12635689,12640427,12640005,12635965,12638960,12637470,12632530,12633662
12638761,12634618,12635837,12640018,12639576,12639530,12636361,12640028,12635541,12635451,12638840,12634304,12634935,12639645,12640284,12639921,12635735,12641048,12636913,12635709,12635045,12640358,12640381,12640115,12639162,12634475,12635630,12640593,12638863,12634580,12635597,12640325,12635689,12640427,12640018,12635970,12638965,12637470,12632530,12633670
12638766,12634621,12635850,12640023,12639586,12639530,12636366,12640031,12635546,12635456,12638840,12634309,12634935,12639645,12640286,12639926,12635740,12641053,12636931,12635712,12635045,12640363,12640381,12640115,12639167,12634480,12635638,12640593,12638873,12634590,12635602,12640325,12635694,12640432,12640028,12635975,12638983,12637475,12632533,12633680
12638766,12634626,12635850,12640023,12639586,12639530,12636384,12640046,12635551,12635469,12638845,12634309,12634935,12639650,12640294,12639926,12635740,12641053,12636936,12635712,12635055,12640368,12640386,12640118,12639167,12634483,12635638,12640593,12638878,12634595,12635602,12640325,12635702,12640460,12640031,12635980,12638988,12637475,12632533,12633683
12638771,12634626,12635855,12640026,12639596,12639535,12636389,12640046,12635556,12635469,12638845,12634314,12634940,12639655,12640302,12639931,12635740,12641053,12636946,12635717,12635068,12640373,12640394,12640120,12639172,12634485,12635640,12640593,12638881,12634618,12635602,12640330,12635702,12640460,12640036,12635983,12638988,12637475,12632533,12633683
12638776,12634628,12635855,12640026,12639596,12639540,12636399,12640072,12635561,12635469,12638855,12634314,12634948,12639655,12640304,12639931,12635745,12641053,12636959,12635722,12635068,12640381,12640396,12640133,12639172,12634485,12635648,12640593,12638883,12634623,12635612,12640335,12635707,12640463,12640041,12635985,12638988,12637478,12632538,12633683
12638781,12634631,12635868,12640036,12639604,12639543,12636407,12640072,12635564,12635472,12638855,12634314,12634953,12639668,12640317,12639939,12635753,12641058,12636959,12635722,12635073,12640404,12640399,12640138,12639180,12634485,12635648,12640598,12638886,12634631,12635617,12640335,12635717,12640463,12640051,12635988,12639001,12637478,12632538,12633688
12638781,12634636,12635873,12640036,12639612,12639548,12636417,12640074,12635579,12635477,12638858,12634319,12634953,12639686,12640317,12639944,12635753,12641066,12636969,12635725,12635073,12640409,12640414,12640138,12639182,12634488,12635653,12640606,12638886,12634631,12635625,12640345,12635717,12640465,12640054,12635993,12639011,12637480,12632543,12633688
12638786,12634641,12635893,12640036,12639614,12639548,12636430,12640087,12635579,12635479,12638858,12634327,12634963,12639686,12640317,12639949,12635773,12641076,12636969,12635725,12635083,12640432,12640427,12640138,12639185,12634490,12635653,12640611,12638891,12634641,12635630,12640345,12635727,12640465,12640059,12635998,12639034,12637483,12632543,12633688
12638794,12634644,12635896,12640046,12639622,12639553,12636435,12640087,12635584,12635482,12638868,12634329,12634968,12639686,12640327,12639949,12635781,12641081,12636982,12635730,12635083,12640442,12640427,12640143,12639185,12634498,12635658,12640621,12638896,12634641,12635638,12640348,12635730,12640473,12640064,12636001,12639037,12637483,12632548,12633693
12638804,12634646,12635901,12640046,12639627,12639553,12636435,12640092,12635584,12635482,12638873,12634332,12634968,12639688,12640330,12639949,12635799,12641086,12636992,12635730,12635086,12640442,12640427,12640151,12639185,12634498,12635658,12640621,12638896,12634644,12635643,12640363,12635732,12640473,12640077,12636006,12639042,12637483,12632548,12633693
12638807,12634649,12635909,12640049,12639627,12639553,12636435,12640100,12635589,12635482,12638873,12634332,12634973,12639696,12640330,12639949,12635801,12641094,12636995,12635740,12635086,12640445,12640432,12640156,12639185,12634498,12635658,12640626,12638896,12634646,12635643,12640373,12635735,12640478,12640082,12636016,12639042,12637483,12632548,12633698
12638812,12634654,12635929,12640051,12639632,12639558,12636443,12640110,12635602,12635487,12638878,12634332,12634976,12639704,12640335,12639949,12635801,12641094,12636995,12635740,12635091,12640445,12640432,12640156,12639190,12634498,12635671,12640626,12638896,12634646,12635643,12640376,12635740,12640478,12640087,12636026,12639047,12637488,12632556,12633703
12638814,12634654,12635929,12640054,12639655,12639558,12636445,12640110,12635607,12635492,12638881,12634332,12634986,12639706,12640340,12639949,12635827,12641112,12637010,12635740,12635096,12640447,12640432,12640161,12639195,12634503,12635671,12640634,12638901,12634646,12635663,12640378,12635740,12640478,12640105,12636039,12639047,12637488,12632561,12633703
12638817,12634659,12635952,12640064,12639655,12639558,12636471,12640120,12635610,12635497,12638891,12634337,12634991,12639709,12640340,12639959,12635837,12641114,12637023,12635740,12635096,12640450,12640437,12640169,12639200,12634503,12635676,12640639,12638904,12634649,12635663,12640378,12635745,12640483,12640110,12636039,12639052,12637493,12632561,12633703
12638817,12634664,12635960,12640064,12639663,12639571,12636481,12640123,12635615,12635497,12638896,12634342,12634994,12639714,12640340,12639959,12635842,12641114,12637023,12635740,12635101,12640455,12640455,12640174,12639203,12634508,12635679,12640647,12638922,12634654,12635666,12640381,12635745,12640488,12640120,12636044,12639057,12637496,12632566,12633706
12638822,12634669,12635962,12640069,12639668,12639576,12636481,12640125,12635625,12635500,12638901,12634342,12635004,12639724,12640348,12639964,12635845,12641117,12637033,12635748,12635101,12640455,12640455,12640174,12639208,12634521,12635681,12640657,12638924,12634654,12635676,12640386,12635745,12640496,12640120,12636044,12639075,12637506,12632566,12633708
12638822,12634669,12635965,12640077,12639673,12639586,12636481,12640128,12635633,12635505,12638904,12634342,12635009,12639724,12640353,12639967,12635850,12641127,12637038,12635753,12635104,12640470,12640460,12640174,12639208,12634534,12635686,12640662,12638929,12634659,12635679,12640391,12635748,12640501,12640125,12636047,12639080,12637511,12632571,12633716
12638827,12634677,12635970,12640077,12639681,12639594,12636486,12640128,12635635,12635505,12638904,12634342,12635017,12639727,12640353,12639972,12635850,12641145,12637061,12635758,12635104,12640473,12640468,12640179,12639213,12634534,12635689,12640662,12638929,12634659,12635681,12640391,12635750,12640509,12640128,12636049,12639083,12637511,12632571,12633716
12638840,12634677,12635980,12640087,12639686,12639604,12636499,12640133,12635635,12635510,12638914,12634345,12635017,12639729,12640353,12639977,12635850,12641163,12637069,12635763,12635106,12640473,12640473,12640184,12639213,12634536,12635689,12640667,12638932,12634659,12635681,12640396,12635758,12640516,12640133,12636049,12639088,12637511,12632571,12633716
12638840,12634682,12635980,12640087,12639701,12639612,12636499,12640143,12635638,12635528,12638914,12634355,12635019,12639729,12640355,12639980,12635850,12641168,12637084,12635768,12635109,12640473,12640488,12640184,12639218,12634539,12635702,12640672,12638932,12634664,12635686,12640404,12635773,12640519,12640138,12636052,12639088,12637511,12632571,12633716
12638850,12634682,12635983,12640097,12639701,12639614,12636514,12640146,12635643,12635528,12638922,12634355,12635022,12639737,12640358,12639990,12635855,12641173,12637089,12635776,12635109,12640478,12640496,12640189,12639218,12634544,12635704,12640685,12638937,12634672,12635686,12640409,12635776,12640524,12640143,12636062,12639093,12637516,12632574,12633716
12638855,12634682,12635985,12640100,12639706,12639627,12636517,12640151,12635643,12635533,12638924,12634355,12635027,12639737,12640368,12639995,12635855,12641186,12637097,12635791,12635114,12640483,12640496,12640189,12639226,12634549,12635707,12640693,12638937,12634682,12635689,12640427,12635781,12640537,12640143,12636067,12639098,12637516,12632576,12633721
12638863,12634682,12635998,12640110,12639709,12639632,12636540,12640151,12635643,12635533,12638924,12634360,12635037,12639757,12640381,12640005,12635860,12641186,12637102,12635794,12635114,12640491,12640496,12640192,12639228,12634567,12635712,12640703,12638937,12634682,12635694,12640432,12635781,12640542,12640161,12636067,12639098,12637521,12632576,12633721
12638863,12634687,12635998,12640110,12639714,12639640,12636540,12640161,12635648,12635541,12638929,12634373,12635045,12639760,12640386,12640023,12635868,12641191,12637148,12635799,12635119,12640496,12640501,12640202,12639231,12634567,12635712,12640708,12638942,12634682,12635699,12640432,12635791,12640547,12640169,12636072,12639098,12637521,12632576,12633721
12638868,12634705,12636011,12640118,12639724,12639645,12636550,12640169,12635653,12635551,12638929,12634378,12635050,12639765,12640386,12640028,12635870,12641196,12637189,12635809,12635119,12640501,12640501,12640207,12639231,12634567,12635717,12640708,12638947,12634682,12635702,12640437,12635791,12640547,12640171,12636075,12639098,12637521,12632581,12633721
12638868,12634705,12636016,12640128,12639729,12639650,12636555,12640171,12635658,12635551,12638937,12634383,12635050,12639770,12640391,12640031,12635873,12641204,12637189,12635809,12635119,12640509,12640506,12640207,12639236,12634567,12635722,12640718,12638955,12634687,12635712,12640473,12635791,12640547,12640171,12636075,12639098,12637524,12632594,12633726
12638873,12634710,12636026,12640128,12639742,12639655,12636568,12640179,12635671,12635556,12638937,12634383,12635063,12639770,12640391,12640031,12635878,12641204,12637199,12635809,12635127,12640509,12640509,12640212,12639236,12634572,12635735,12640718,12638960,12634687,12635717,12640483,12635791,12640552,12640174,12636080,12639103,12637526,12632597,12633726
12638891,12634723,12636029,12640138,12639742,12639658,12636578,12640184,12635671,12635556,12638942,12634383,12635068,12639780,12640394,12640033,12635883,12641214,12637230,12635814,12635127,12640514,12640511,12640225,12639236,12634580,12635740,12640721,12638965,12634695,12635717,12640516,12635794,12640557,12640174,12636085,12639103,12637526,12632599,12633739
12638891,12634728,12636031,12640146,12639747,12639663,12636581,12640192,12635676,12635561,12638942,12634383,12635073,12639780,12640396,12640036,12635888,12641214,12637235,12635817,12635129,12640514,12640514,12640225,12639236,12634582,12635745,12640721,12638965,12634700,12635717,12640529,12635801,12640578,12640179,12636090,12639106,12637529,12632599,12633744
12638901,12634728,12636039,12640148,12639747,12639665,12636586,12640197,12635689,12635561,12638945,12634388,12635086,12639783,12640396,12640056,12635891,12641224,12637235,12635827,12635129,12640514,12640529,12640225,12639241,12634585,12635753,12640726,12638970,12634710,12635717,12640542,12635804,12640580,12640179,12636093,12639108,12637529,12632599,12633744
12638901,12634728,12636049,12640151,12639747,12639673,12636591,12640197,12635689,12635566,12638947,12634388,12635091,12639793,12640401,12640059,12635891,12641232,12637253,12635832,12635132,12640516,12640532,12640243,12639246,12634585,12635758,12640726,12638973,12634713,12635725,12640547,12635804,12640580,12640184,12636103,12639126,12637529,12632602,12633744
12638901,12634733,12636049,12640151,12639750,12639673,12636599,12640197,12635694,12635574,12638947,12634411,12635091,12639793,12640404,12640125,12635893,12641242,12637253,12635832,12635157,12640516,12640542,12640243,12639246,12634585,12635768,12640726,12638973,12634718,12635725,12640552,12635809,12640588,12640184,12636103,12639129,12637529,12632604,12633747
12638904,12634733,12636062,12640156,12639752,12639673,12636601,12640207,12635694,12635579,12638950,12634411,12635106,12639798,12640404,12640128,12635911,12641250,12637286,12635842,12635160,12640524,12640542,12640258,12639264,12634590,12635773,12640736,12638978,12634718,12635735,12640552,12635819,12640588,12640187,12636103,12639134,12637542,12632607,12633749
12638904,12634738,12636067,12640166,12639752,12639678,12636604,12640212,12635694,12635584,12638950,12634416,12635109,12639806,12640422,12640133,12635911,12641250,12637291,12635850,12635173,12640529,12640552,12640258,12639269,12634590,12635781,12640739,12638978,12634720,12635740,12640575,12635822,12640588,12640189,12636136,12639134,12637547,12632612,12633754
12638914,12634741,12636080,12640184,12639752,12639686,12636604,12640215,12635699,12635584,12638952,12634419,12635111,12639811,12640424,12640138,12635914,12641265,12637304,12635855,12635173,12640534,12640557,12640266,12639269,12634590,12635781,12640744,12638978,12634723,12635750,12640588,12635822,12640593,12640194,12636136,12639134,12637549,12632622,12633757
12638919,12634746,12636090,12640184,12639765,12639691,12636609,12640217,12635707,12635584,12638955,12634421,12635134,12639816,12640427,12640138,12635914,12641265,12637304,12635860,12635175,12640537,12640560,12640294,12639277,12634590,12635794,12640746,12638978,12634723,12635753,12640593,12635832,12640593,12640212,12636149,12639136,12637549,12632625,12633757
12638927,12634746,12636095,12640189,12639765,12639691,12636629,12640217,12635707,12635592,12638960,12634424,12635134,12639821,12640432,12640141,12635914,12641265,12637309,12635860,12635178,12640542,12640560,12640294,12639282,12634600,12635799,12640754,12638978,12634723,12635758,12640593,12635832,12640593,12640212,12636149,12639144,12637552,12632630,12633762
12638927,12634746,12636095,12640192,12639775,12639711,12636675,12640220,12635712,12635602,12638960,12634424,12635142,12639824,12640442,12640141,12635919,12641270,12637322,12635865,12635178,12640542,12640578,12640299,12639282,12634603,12635799,12640764,12638988,12634723,12635763,12640593,12635837,12640598,12640217,12636154,12639144,12637552,12632630,12633762
12638932,12634751,12636108,12640192,12639775,12639714,12636683,12640233,12635712,12635607,12638960,12634429,12635142,12639834,12640442,12640143,12635919,12641270,12637327,12635868,12635180,12640547,12640580,12640299,12639287,12634613,12635801,12640772,12638988,12634728,12635763,12640593,12635842,12640598,12640220,12636154,12639154,12637552,12632640,12633767
12638932,12634751,12636108,12640194,12639775,12639724,12636693,12640235,12635722,12635607,12638960,12634434,12635142,12639844,12640450,12640143,12635919,12641275,12637327,12635868,12635180,12640552,12640593,12640304,12639290,12634618,12635809,12640772,12638988,12634733,12635768,12640598,12635842,12640598,12640230,12636154,12639157,12637552,12632640,12633772
12638932,12634756,12636113,12640197,12639775,12639727,12636696,12640238,12635727,12635607,12638965,12634442,12635147,12639847,12640455,12640151,12635924,12641278,12637345,12635873,12635188,12640552,12640606,12640304,12639290,12634618,12635814,12640777,12638988,12634746,12635773,12640603,12635855,12640611,12640235,12636154,12639159,12637557,12632640,12633780
12638937,12634756,12636121,12640197,12639775,12639732,12636696,12640248,12635740,12635615,12638973,12634447,12635155,12639847,12640460,12640151,12635937,12641283,12637360,12635878,12635188,12640552,12640608,12640307,12639297,12634621,12635832,12640777,12638993,12634746,12635776,12640606,12635860,12640616,12640240,12636164,12639167,12637557,12632640,12633780
12638942,12634761,12636126,12640197,12639780,12639737,12636711,12640248,12635753,12635617,12638973,12634452,12635178,12639852,12640470,12640151,12635952,12641283,12637368,12635901,12635188,12640555,12640616,12640312,12639300,12634621,12635832,12640782,12639006,12634756,12635781,12640616,12635868,12640616,12640243,12636167,12639180,12637557,12632643,12633780
12638955,12634764,12636126,12640207,12639806,12639742,12636711,12640248,12635753,12635625,12638975,12634452,12635178,12639857,12640470,12640156,12635952,12641293,12637401,12635901,12635193,12640575,12640629,12640312,12639300,12634626,12635832,12640787,12639006,12634764,12635781,12640616,12635873,12640616,12640256,12636182,12639185,12637557,12632645,12633785
12638955,12634769,12636131,12640220,12639806,12639742,12636724,12640253,12635763,12635630,12638978,12634457,12635178,12639857,12640478,12640156,12635965,12641296,12637409,12635906,12635193,12640588,12640629,12640312,12639305,12634626,12635845,12640790,12639011,12634764,12635786,12640616,12635883,12640616,12640261,12636195,12639200,12637562,12632645,12633785
