0-BINSEARCH[56](2020){1},0-BINSEARCH[56](2020){4095},0-BINSEARCH[56](2020){2048},0-BINSEARCH[56](2020){1792},0-BINSEARCH[56](2020){1920},0-BINSEARCH[56](2020){1984},0-BINSEARCH[56](2020){2048},0-BINSEARCH[56](2020){2016},0-BINSEARCH[56](2020){2032},0-BINSEARCH[56](2020){2024},0-BINSEARCH[56](2020){1},0-BINSEARCH[56](2020){4095},0-BINSEARCH[56](2020){2048},0-BINSEARCH[56](2020){1792},0-BINSEARCH[56](2020){1920},0-BINSEARCH[56](2020){1984},0-BINSEARCH[56](2020){2048},0-BINSEARCH[56](2020){2016},0-BINSEARCH[56](2020){2032},0-BINSEARCH[56](2020){2024},0-BINSEARCH[56](2020){2020},0-BINSEARCH[56](2020){2016},0-BINSEARCH[56](2020){2018},0-BINSEARCH[56](2020){2019},0-BINSEARCH[57](1900){1},0-BINSEARCH[57](1900){4095},0-BINSEARCH[57](1900){2048},0-BINSEARCH[57](1900){1792},0-BINSEARCH[57](1900){1},0-BINSEARCH[57](1900){4095},0-BINSEARCH[57](1900){2048},0-BINSEARCH[57](1900){1792},0-BINSEARCH[57](1900){1920},0-BINSEARCH[57](1900){1856},0-BINSEARCH[57](1900){1888},0-BINSEARCH[57](1900){1904},0-BINSEARCH[57](1900){1896},0-BINSEARCH[57](1900){1},0-BINSEARCH[57](1900){4095},0-BINSEARCH[57](1900){2048}
12635180,12626364,12628459,12634140,12631881,12630141,12631541,12634240,12626839,12631265,12635147,12625344,12630207,12631140,12631876,12635418,12630376,12631411,12632001,12631963,12625188,12636412,12636540,12631940,12631991,12627082,12628219,12632183,12630036,12624439,12631173,12629683,12630376,12636650,12636374,12631991,12630519,12631388,12624600,12624774
12635196,12627245,12628574,12634958,12633031,12630565,12631651,12634258,12627294,12631288,12635229,12625413,12630343,12631293,12632042,12635694,12631002,12631536,12632078,12631986,12625211,12636637,12636591,12633471,12632727,12627156,12628426,12633445,12630534,12624547,12631490,12629783,12631127,12636752,12636425,12632027,12631094,12631480,12624626,12625454
12635372,12630455,12628638,12635270,12634171,12630713,12631871,12635060,12627432,12631334,12635257,12625559,12631079,12631411,12632193,12635906,12631214,12631779,12632093,12631991,12625359,12636645,12636627,12633726,12632824,12627511,12628518,12634043,12630846,12624549,12631503,12630046,12631158,12636770,12636481,12632042,12631462,12632474,12624945,12625469
12635487,12630565,12629001,12635326,12634779,12630851,12631922,12635385,12628827,12631380,12635326,12625579,12631079,12631480,12634769,12635932,12631283,12632170,12632096,12632014,12626001,12636652,12636665,12634618,12634498,12627570,12628651,12635211,12630938,12624600,12631605,12630340,12631324,12636808,12636532,12632060,12631554,12633785,12625040,12626006
12635505,12630818,12630069,12635390,12635165,12631178,12631955,12635525,12630307,12631411,12635515,12625750,12631132,12631539,12634981,12636021,12631472,12632221,12632139,12632014,12626154,12636698,12636706,12635267,12634700,12628541,12629190,12635469,12631186,12624856,12631679,12630363,12631385,12636849,12636560,12632088,12632285,12634102,12625303,12627161
12635515,12630897,12630077,12635730,12635285,12631434,12631976,12635538,12630442,12631434,12635538,12625763,12631153,12631608,12635431,12636057,12631485,12632267,12632167,12632050,12626190,12636775,12636729,12635290,12634828,12628881,12630184,12635556,12631278,12624981,12631751,12630524,12631421,12636890,12636591,12632119,12632369,12634324,12625725,12627345
12635528,12631130,12630169,12635850,12635418,12631996,12632006,12635873,12630593,12631467,12635625,12625781,12631352,12631669,12635717,12636062,12631490,12632418,12632203,12632147,12626241,12636826,12636767,12635377,12635339,12629300,12630276,12635796,12631863,12625132,12631960,12630818,12631462,12636905,12636599,12632170,12633123,12634470,12626765,12627567
12635528,12631130,12630882,12635865,12635515,12632280,12632285,12635888,12630826,12631536,12635671,12625891,12631380,12632254,12635855,12636095,12631521,12632727,12632390,12632216,12626481,12636857,12636798,12635551,12635372,12630187,12630299,12635863,12632510,12625201,12631978,12630841,12631467,12636992,12636742,12632208,12634342,12634516,12627240,12629752
12635589,12631186,12630969,12635873,12635717,12633450,12632295,12636039,12630895,12631536,12635694,12625934,12631383,12633044,12635919,12636131,12631536,12632801,12632438,12632221,12626576,12636875,12636844,12635584,12635433,12630243,12630381,12635896,12632622,12625262,12632004,12631086,12631756,12636997,12636775,12632290,12634925,12634631,12629221,12629880
12635607,12631191,12631030,12635878,12635781,12633882,12632336,12636077,12630961,12631590,12635730,12625947,12631388,12634135,12635955,12636159,12631628,12632929,12632538,12632497,12626632,12637015,12636885,12635594,12635584,12630271,12630570,12635975,12632658,12625362,12632111,12631140,12631779,12637005,12636793,12632497,12634994,12634649,12629760,12629903
