0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){2048},0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){2048},0-BINSEARCH[56](1935){1792},0-BINSEARCH[56](1935){1920},0-BINSEARCH[56](1935){1984},0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){2048},0-BINSEARCH[56](1935){1792},0-BINSEARCH[56](1935){1568},0-BINSEARCH[56](1935){1680},0-BINSEARCH[56](1935){1736},0-BINSEARCH[56](1935){1792},0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){2048},0-BINSEARCH[56](1935){1792}
14134824,14131974,14132404,14136651,14131476,14132575,14136628,14136498,14132695,14145069,14141282,14141509,14136978,14145092,14145552,14145491,14145769,14136293,14140980,14144757,14141693,14133275,14146505
14134829,14132036,14132424,14136720,14131563,14132618,14136651,14136508,14132746,14145087,14141292,14141522,14137103,14145102,14145565,14145552,14145772,14136316,14141016,14144770,14141696,14133311,14146574
14134842,14132051,14132470,14136720,14131606,14132621,14136756,14136513,14132756,14145133,14141302,14141558,14137139,14145123,14145621,14145570,14145782,14136360,14141021,14144824,14141729,14133316,14146610
14134903,14132069,14132478,14136748,14131606,14132634,14136776,14136521,14132759,14145138,14141305,14141573,14137152,14145148,14145644,14145580,14145846,14136362,14141072,14144862,14141747,14133321,14146674
14134921,14132069,14132511,14136758,14131652,14132685,14136784,14136582,14132779,14145148,14141333,14141619,14137157,14145166,14145680,14145588,14145856,14136362,14141103,14144875,14141803,14133357,14146707
14134934,14132074,14132565,14136761,14131655,14132708,14136863,14136613,14132787,14145207,14141371,14141627,14137172,14145197,14145723,14145685,14145933,14136388,14141154,14144895,14141813,14133362,14146730
14134939,14132120,14132590,14136766,14131678,14132741,14136868,14136628,14132810,14145235,14141422,14141665,14137180,14145202,14145749,14145721,14145953,14136449,14141187,14144908,14141841,14133416,14146766
14134962,14132161,14132626,14136779,14131683,14132777,14136871,14136628,14132810,14145253,14141430,14141734,14137213,14145215,14145764,14145731,14146012,14136457,14141251,14144913,14141864,14133500,14146771
14134982,14132194,14132659,14136789,14131683,14132800,14136881,14136628,14132815,14145271,14141435,14141734,14137216,14145263,14145767,14145741,14146020,14136467,14141274,14144969,14141931,14133510,14146799
14135000,14132230,14132672,14136799,14131752,14132861,14136927,14136641,14132879,14145276,14141435,14141739,14137244,14145294,14145767,14145782,14146035,14136475,14141284,14144972,14142015,14133523,14146799
14135005,14132263,14132759,14136812,14131752,14132897,14136927,14136664,14132948,14145327,14141440,14141747,14137249,14145304,14145805,14145800,14146063,14136536,14141302,14144977,14142079,14133564,14146840
14135059,14132271,14132810,14136825,14131793,14132920,14137001,14136748,14132958,14145340,14141481,14141762,14137313,14145304,14145838,14145818,14146063,14136564,14141315,14145005,14142102,14133620,14146855
