0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){2048},0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){2048},0-BINSEARCH[56](1935){1792},0-BINSEARCH[56](1935){1920},0-BINSEARCH[56](1935){1984},0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){2048},0-BINSEARCH[56](1935){1792},0-BINSEARCH[56](1935){1568},0-BINSEARCH[56](1935){1680},0-BINSEARCH[56](1935){1736},0-BINSEARCH[56](1935){1792},0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){2048},0-BINSEARCH[56](1935){1792}
14138813,14136843,14138826,14141762,14135115,14139337,14143114,14142378,14140510,14148427,14144691,14146188,14142585,14150819,14150019,14150185,14150860,14140060,14145082,14147617,14149329,14140009,14154440
14138818,14136858,14138828,14141767,14135125,14139342,14143129,14142393,14140528,14148427,14144696,14146188,14142595,14150842,14150024,14150193,14150875,14140073,14145087,14147617,14149388,14140024,14154468
14138823,14136871,14138831,14141780,14135156,14139378,14143142,14142393,14140530,14148427,14144696,14146191,14142598,14150857,14150027,14150193,14150903,14140101,14145102,14147617,14149393,14140032,14154471
14138823,14136896,14138846,14141803,14135174,14139421,14143170,14142411,14140548,14148427,14144701,14146196,14142631,14150865,14150032,14150193,14150929,14140106,14145110,14147622,14149403,14140032,14154489
14138836,14136896,14138849,14141821,14135179,14139444,14143183,14142419,14140548,14148427,14144706,14146214,14142636,14150875,14150037,14150208,14150934,14140111,14145128,14147632,14149439,14140037,14154545
14138841,14136899,14138859,14141826,14135184,14139457,14143201,14142442,14140556,14148427,14144714,14146242,14142659,14150880,14150042,14150221,14150957,14140124,14145130,14147635,14149449,14140055,14154606
14138841,14136909,14138867,14141839,14135187,14139475,14143219,14142455,14140574,14148437,14144724,14146247,14142659,14150944,14150042,14150221,14150962,14140129,14145138,14147645,14149577,14140083,14154752
14138854,14136917,14138882,14141885,14135187,14139485,14143293,14142455,14140584,14148442,14144724,14146252,14142677,14150985,14150047,14150239,14150967,14140139,14145148,14147645,14149628,14140106,14154816
14138859,14136937,14138887,14141890,14135189,14139485,14143293,14142460,14140597,14148442,14144729,14146265,14142695,14150993,14150070,14150244,14150975,14140147,14145148,14147650,14149631,14140119,14154829
14138895,14136955,14138892,14141890,14135197,14139503,14143298,14142470,14140602,14148442,14144737,14146265,14142700,14151008,14150075,14150257,14150975,14140165,14145161,14147650,14149651,14140119,14154867
14138895,14136963,14138900,14141890,14135207,14139513,14143298,14142488,14140602,14148442,14144737,14146265,14142713,14151013,14150078,14150257,14150998,14140175,14145179,14147650,14149654,14140129,14154990
14138905,14136965,14138915,14141903,14135215,14139544,14143303,14142501,14140620,14148442,14144742,14146278,14142718,14151018,14150083,14150257,14151008,14140193,14145189,14147668,14149664,14140129,14155018
14138910,14136986,14138920,14141923,14135220,14139554,14143321,14142506,14140638,14148450,14144742,14146280,14142718,14151026,14150088,14150262,14151021,14140193,14145189,14147673,14149723,14140147,14155036
14138933,14136991,14138923,14141928,14135225,14139557,14143329,14142516,14140648,14148455,14144747,14146288,14142723,14151036,14150106,14150262,14151021,14140198,14145202,14147673,14149738,14140165,14155056
14138936,14137001,14138928,14141933,14135225,14139559,14143331,14142521,14140653,14148460,14144747,14146288,14142723,14151039,14150106,14150275,14151026,14140203,14145207,14147678,14149743,14140180,14155059
14138938,14137004,14138928,14141959,14135253,14139564,14143331,14142529,14140658,14148460,14144747,14146288,14142733,14151044,14150116,14150280,14151034,14140211,14145212,14147681,14149802,14140201,14155064
14138938,14137019,14138933,14141972,14135258,14139600,14143357,14142534,14140681,14148463,14144760,14146288,14142746,14151044,14150119,14150313,14151067,14140216,14145212,14147681,14149876,14140216,14155089
14138951,14137037,14138936,14141972,14135261,14139623,14143362,14142539,14140694,14148473,14144765,14146288,14142759,14151054,14150147,14150323,14151067,14140239,14145212,14147696,14149899,14140224,14155105
14138959,14137042,14138941,14141974,14135271,14139628,14143367,14142547,14140694,14148473,14144770,14146303,14142761,14151072,14150157,14150326,14151095,14140270,14145212,14147696,14149917,14140244,14155148
14138974,14137047,14138946,14141977,14135281,14139628,14143377,14142557,14140699,14148473,14144775,14146316,14142774,14151072,14150180,14150331,14151118,14140275,14145215,14147709,14149968,14140280,14155207
14138982,14137065,14138946,14141977,14135281,14139656,14143413,14142557,14140704,14148473,14144778,14146321,14142777,14151103,14150185,14150341,14151128,14140275,14145220,14147714,14150004,14140290,14155207
14138987,14137070,14138946,14141982,14135284,14139659,14143426,14142562,14140712,14148483,14144793,14146334,14142830,14151118,14150185,14150349,14151136,14140290,14145220,14147714,14150022,14140298,14155243
14138989,14137075,14138969,14141992,14135286,14139682,14143451,14142567,14140717,14148486,14144793,14146334,14142843,14151136,14150193,14150397,14151149,14140303,14145225,14147719,14150045,14140313,14155286
14138992,14137078,14138979,14142005,14135294,14139687,14143474,14142572,14140722,14148506,14144801,14146344,14142843,14151179,14150193,14150428,14151177,14140303,14145248,14147724,14150083,14140326,14155299
14138997,14137111,14138992,14142015,14135312,14139695,14143477,14142572,14140727,14148514,14144834,14146365,14142851,14151192,14150198,14150433,14151182,14140313,14145263,14147737,14150157,14140336,14155309
14139025,14137119,14138997,14142020,14135322,14139728,14143482,14142585,14140735,14148524,14144834,14146380,14142853,14151205,14150216,14150464,14151192,14140321,14145276,14147737,14150175,14140346,14155322
14139033,14137121,14139035,14142023,14135330,14139728,14143505,14142590,14140735,14148542,14144839,14146385,14142856,14151205,14150216,14150469,14151192,14140321,14145304,14147737,14150216,14140354,14155327
14139035,14137121,14139043,14142038,14135332,14139771,14143505,14142590,14140740,14148552,14144849,14146385,14142866,14151238,14150221,14150515,14151192,14140326,14145309,14147737,14150244,14140354,14155340
14139038,14137134,14139043,14142048,14135340,14139784,14143518,14142590,14140745,14148557,14144854,14146390,14142866,14151269,14150221,14150515,14151195,14140336,14145317,14147745,14150244,14140372,14155345
14139043,14137139,14139056,14142056,14135345,14139840,14143533,14142598,14140763,14148560,14144854,14146398,14142876,14151284,14150226,14150525,14151195,14140359,14145322,14147747,14150254,14140372,14155365
14139043,14137139,14139061,14142061,14135363,14139843,14143536,14142603,14140768,14148565,14144857,14146398,14142889,14151302,14150239,14150533,14151200,14140367,14145322,14147752,14150254,14140385,14155386
14139043,14137175,14139066,14142061,14135363,14139858,14143538,14142603,14140768,14148565,14144857,14146408,14142907,14151338,14150249,14150543,14151200,14140372,14145322,14147752,14150298,14140400,14155396
14139051,14137190,14139079,14142064,14135368,14139881,14143541,14142626,14140814,14148573,14144885,14146411,14142915,14151348,14150249,14150584,14151223,14140387,14145327,14147760,14150346,14140400,14155401
14139053,14137198,14139081,14142074,14135371,14139884,14143551,14142636,14140819,14148578,14144885,14146416,14142917,14151366,14150257,14150589,14151289,14140395,14145330,14147760,14150395,14140418,14155455
14139066,14137211,14139107,14142084,14135371,14139889,14143551,14142641,14140832,14148593,14144893,14146418,14142922,14151376,14150262,14150597,14151307,14140400,14145335,14147760,14150428,14140428,14155473
14139076,14137213,14139135,14142112,14135378,14139899,14143551,14142654,14140860,14148596,14144895,14146426,14142925,14151399,14150267,14150622,14151320,14140405,14145350,14147765,14150433,14140451,14155503
14139094,14137218,14139135,14142112,14135394,14139902,14143566,14142654,14140860,14148601,14144898,14146426,14142925,14151432,14150277,14150625,14151320,14140410,14145358,14147765,14150451,14140451,14155534
14139104,14137226,14139145,14142130,14135399,14139907,14143584,14142672,14140865,14148606,14144908,14146431,14142930,14151435,14150285,14150630,14151325,14140410,14145358,14147768,14150461,14140469,14155585
14139104,14137231,14139148,14142138,14135401,14139945,14143592,14142672,14140870,14148606,14144908,14146431,14142930,14151445,14150290,14150640,14151325,14140433,14145363,14147770,14150548,14140469,14155603
14139120,14137257,14139150,14142143,14135409,14139945,14143597,14142682,14140888,14148611,14144913,14146449,14142948,14151463,14150290,14150645,14151330,14140438,14145368,14147773,14150558,14140515,14155626
14139130,14137259,14139163,14142143,14135409,14139996,14143625,14142705,14140893,14148634,14144926,14146449,14142976,14151496,14150300,14150676,14151333,14140459,14145368,14147778,14150571,14140523,14155631
14139140,14137277,14139186,14142148,14135419,14140022,14143630,14142718,14140893,14148647,14144926,14146454,14142976,14151519,14150336,14150681,14151335,14140459,14145373,14147783,14150597,14140533,14155634
14139163,14137280,14139189,14142163,14135422,14140032,14143648,14142723,14140911,14148647,14144936,14146464,14143004,14151519,14150364,14150686,14151343,14140477,14145373,14147783,14150612,14140543,14155639
14139181,14137280,14139209,14142181,14135427,14140045,14143648,14142746,14140916,14148649,14144936,14146472,14143004,14151527,14150377,14150686,14151348,14140487,14145386,14147793,14150640,14140551,14155695
14139199,14137290,14139237,14142184,14135427,14140050,14143661,14142774,14140919,14148657,14144936,14146477,14143007,14151555,14150395,14150694,14151358,14140502,14145386,14147793,14150737,14140556,14155695
14139204,14137290,14139250,14142186,14135427,14140050,14143666,14142802,14140924,14148657,14144949,14146505,14143030,14151568,14150397,14150699,14151394,14140525,14145401,14147796,14150783,14140561,14155695
14139217,14137313,14139288,14142189,14135432,14140088,14143671,14142805,14140924,14148657,14144949,14146513,14143055,14151606,14150397,14150704,14151407,14140533,14145419,14147798,14150814,14140571,14155713
14139240,14137326,14139291,14142194,14135445,14140101,14143674,14142807,14140929,14148662,14144964,14146513,14143058,14151637,14150400,14150719,14151412,14140561,14145419,14147801,14150832,14140594,14155723
14139260,14137333,14139296,14142207,14135468,14140109,14143684,14142838,14140934,14148665,14144977,14146518,14143078,14151647,14150400,14150722,14151445,14140569,14145424,14147806,14150865,14140607,14155728
14139273,14137341,14139324,14142217,14135473,14140134,14143689,14142843,14140962,14148670,14144990,14146523,14143096,14151657,14150400,14150732,14151450,14140574,14145432,14147811,14150916,14140615,14155751
14139311,14137346,14139337,14142217,14135473,14140142,14143689,14142856,14140962,14148672,14145005,14146556,14143099,14151688,14150464,14150732,14151455,14140584,14145437,14147811,14150962,14140635,14155759
14139314,14137359,14139342,14142227,14135478,14140180,14143717,14142876,14140970,14148675,14145013,14146572,14143137,14151708,14150469,14150740,14151463,14140594,14145442,14147819,14150962,14140663,14155818
14139327,14137374,14139355,14142230,14135483,14140231,14143745,14142889,14140975,14148685,14145023,14146577,14143155,14151711,14150469,14150755,14151463,14140602,14145465,14147821,14150975,14140668,14155833
14139332,14137382,14139360,14142245,14135488,14140239,14143745,14142907,14140983,14148690,14145023,14146577,14143155,14151721,14150469,14150768,14151468,14140612,14145465,14147834,14150993,14140671,14155874
14139337,14137382,14139365,14142245,14135491,14140254,14143758,14142907,14140998,14148693,14145033,14146587,14143160,14151749,14150474,14150773,14151468,14140620,14145470,14147839,14151021,14140684,14155884
14139360,14137387,14139365,14142253,14135514,14140257,14143804,14142912,14140998,14148698,14145033,14146592,14143165,14151767,14150479,14150791,14151481,14140630,14145478,14147839,14151026,14140699,14155915
14139365,14137392,14139370,14142253,14135519,14140257,14143809,14142920,14140998,14148703,14145041,14146600,14143170,14151775,14150487,14150796,14151491,14140635,14145478,14147839,14151031,14140699,14155925
14139383,14137392,14139411,14142263,14135524,14140267,14143812,14142943,14140998,14148703,14145059,14146605,14143191,14151821,14150489,14150801,14151491,14140635,14145488,14147842,14151049,14140714,14155948
14139383,14137397,14139421,14142286,14135524,14140267,14143827,14142958,14141003,14148708,14145059,14146605,14143191,14151846,14150497,14150801,14151504,14140653,14145488,14147852,14151057,14140717,14155953
14139388,14137400,14139439,14142304,14135547,14140277,14143868,14142963,14141006,14148716,14145064,14146623,14143193,14151849,14150507,14150819,14151504,14140653,14145496,14147860,14151059,14140727,14155961
14139401,14137433,14139447,14142309,14135547,14140303,14143906,14142966,14141011,14148726,14145082,14146628,14143196,14151910,14150507,14150829,14151509,14140658,14145501,14147870,14151064,14140740,14155994
14139401,14137433,14139462,14142317,14135552,14140331,14143927,14142981,14141021,14148726,14145087,14146646,14143206,14151946,14150515,14150837,14151509,14140666,14145511,14147875,14151072,14140740,14156086
14139406,14137456,14139467,14142319,14135565,14140354,14143950,14142999,14141029,14148744,14145087,14146661,14143219,14151951,14150528,14150842,14151527,14140668,14145511,14147875,14151077,14140801,14156086
14139406,14137461,14139480,14142322,14135570,14140377,14143952,14143004,14141034,14148749,14145092,14146661,14143224,14151954,14150538,14150860,14151527,14140671,14145516,14147880,14151095,14140804,14156122
14139424,14137497,14139503,14142332,14135598,14140390,14143957,14143022,14141034,14148749,14145138,14146671,14143247,14151964,14150548,14150860,14151532,14140684,14145529,14147883,14151154,14140809,14156155
14139462,14137502,14139503,14142332,14135608,14140400,14143960,14143040,14141072,14148754,14145143,14146674,14143260,14151969,14150556,14150888,14151542,14140689,14145529,14147888,14151169,14140827,14156173
14139467,14137502,14139503,14142350,14135621,14140418,14143983,14143058,14141072,14148762,14145143,14146679,14143267,14152015,14150574,14150898,14151542,14140699,14145547,14147893,14151177,14140855,14156191
14139470,14137515,14139508,14142355,14135629,14140423,14143988,14143068,14141077,14148772,14145146,14146679,14143275,14152015,14150579,14150903,14151545,14140745,14145557,14147916,14151187,14140860,14156270
14139470,14137520,14139511,14142355,14135629,14140428,14143998,14143076,14141082,14148777,14145148,14146679,14143298,14152028,14150604,14150919,14151550,14140753,14145557,14147921,14151215,14140883,14156293
14139490,14137538,14139513,14142368,14135634,14140451,14144019,14143109,14141085,14148777,14145153,14146694,14143316,14152033,14150612,14150921,14151560,14140758,14145560,14147926,14151220,14140888,14156298
14139498,14137540,14139534,14142383,14135639,14140505,14144044,14143119,14141108,14148790,14145156,14146702,14143326,14152033,14150622,14150934,14151588,14140776,14145562,14147929,14151266,14140896,14156301
14139503,14137561,14139559,14142386,14135662,14140507,14144072,14143119,14141118,14148795,14145156,14146707,14143334,14152071,14150645,14150939,14151637,14140778,14145565,14147931,14151307,14140929,14156303
14139503,14137566,14139559,14142388,14135672,14140515,14144080,14143137,14141121,14148800,14145161,14146725,14143367,14152071,14150645,14150962,14151639,14140801,14145567,14147939,14151348,14140934,14156326
14139508,14137566,14139562,14142388,14135680,14140528,14144080,14143155,14141126,14148803,14145166,14146725,14143367,14152071,14150645,14150962,14151639,14140801,14145583,14147944,14151389,14140934,14156329
14139513,14137581,14139572,14142396,14135685,14140533,14144108,14143165,14141126,14148805,14145171,14146748,14143380,14152074,14150648,14150993,14151683,14140804,14145588,14147952,14151407,14140939,14156334
14139531,14137586,14139585,14142401,14135703,14140546,14144116,14143188,14141136,14148810,14145179,14146748,14143385,14152074,14150658,14151013,14151711,14140845,14145593,14147954,14151412,14140947,14156344
14139534,14137594,14139587,14142401,14135703,14140571,14144121,14143188,14141149,14148813,14145184,14146771,14143395,14152097,14150658,14151021,14151721,14140850,14145613,14147957,14151422,14140965,14156344
14139595,14137594,14139600,14142414,14135713,14140589,14144131,14143206,14141154,14148818,14145184,14146776,14143400,14152102,14150663,14151031,14151734,14140855,14145626,14147962,14151468,14140975,14156347
14139613,14137594,14139608,14142419,14135718,14140612,14144131,14143214,14141154,14148831,14145189,14146781,14143408,14152112,14150666,14151049,14151739,14140865,14145631,14147962,14151476,14140975,14156352
14139641,14137594,14139608,14142419,14135721,14140630,14144167,14143216,14141164,14148841,14145199,14146804,14143413,14152125,14150668,14151049,14151744,14140870,14145644,14147967,14151476,14140980,14156354
14139654,14137607,14139623,14142419,14135723,14140630,14144167,14143234,14141172,14148841,14145207,14146812,14143418,14152130,14150668,14151054,14151757,14140883,14145652,14147977,14151481,14141021,14156395
14139664,14137630,14139623,14142442,14135731,14140635,14144190,14143257,14141182,14148841,14145212,14146817,14143426,14152143,14150686,14151080,14151757,14140888,14145662,14147985,14151481,14141021,14156400
14139679,14137645,14139633,14142460,14135741,14140643,14144195,14143267,14141187,14148841,14145220,14146817,14143426,14152166,14150694,14151082,14151800,14140888,14145667,14147990,14151499,14141026,14156454
14139687,14137648,14139636,14142470,14135744,14140653,14144218,14143280,14141200,14148851,14145225,14146817,14143426,14152189,14150694,14151087,14151836,14140901,14145667,14147995,14151514,14141026,14156454
14139692,14137648,14139646,14142483,14135749,14140689,14144223,14143288,14141223,14148859,14145248,14146817,14143428,14152199,14150704,14151090,14151844,14140906,14145685,14148008,14151514,14141039,14156561
14139705,14137653,14139677,14142488,14135764,14140704,14144246,14143290,14141228,14148864,14145248,14146822,14143449,14152209,14150709,14151100,14151854,14140906,14145695,14148013,14151542,14141077,14156564
14139705,14137663,14139679,14142493,14135782,14140709,14144277,14143298,14141246,14148872,14145253,14146827,14143454,14152212,14150722,14151108,14151859,14140916,14145705,14148013,14151555,14141082,14156569
14139710,14137673,14139679,14142493,14135782,14140722,14144302,14143303,14141251,14148877,14145253,14146835,14143472,14152337,14150750,14151136,14151877,14140924,14145713,14148018,14151555,14141146,14156574
14139715,14137696,14139687,14142493,14135790,14140727,14144310,14143306,14141261,14148882,14145276,14146840,14143472,14152345,14150768,14151136,14151890,14140939,14145713,14148026,14151560,14141154,14156607
14139720,14137727,14139692,14142503,14135795,14140745,14144320,14143311,14141274,14148892,14145294,14146845,14143472,14152375,14150773,14151141,14151923,14140947,14145713,14148026,14151578,14141154,14156610
14139728,14137742,14139692,14142521,14135813,14140763,14144338,14143311,14141274,14148895,14145299,14146855,14143482,14152429,14150781,14151156,14151928,14140947,14145723,14148028,14151629,14141159,14156630
14139741,14137745,14139697,14142521,14135823,14140763,14144343,14143321,14141282,14148900,14145299,14146858,14143482,14152447,14150781,14151159,14151946,14140952,14145731,14148031,14151637,14141164,14156656
14139741,14137755,14139697,14142524,14135823,14140768,14144343,14143326,14141284,14148910,14145299,14146868,14143487,14152470,14150804,14151159,14151946,14140952,14145736,14148031,14151657,14141167,14156717
14139743,14137760,14139700,14142529,14135828,14140773,14144351,14143336,14141297,14148925,14145304,14146873,14143500,14152493,14150806,14151164,14151969,14140957,14145741,14148041,14151670,14141172,14156722
14139751,14137770,14139718,14142534,14135828,14140773,14144356,14143344,14141297,14148928,14145309,14146873,14143533,14152529,14150811,14151187,14151982,14140962,14145746,14148049,14151683,14141174,14156725
14139751,14137778,14139723,14142539,14135841,14140776,14144366,14143344,14141302,14148928,14145309,14146881,14143551,14152539,14150814,14151187,14151987,14140975,14145754,14148049,14151685,14141177,14156743
14139756,14137796,14139728,14142552,14135846,14140786,14144392,14143349,14141302,14148938,14145317,14146886,14143564,14152544,14150837,14151192,14151992,14140983,14145754,14148059,14151716,14141182,14156748
14139756,14137801,14139746,14142567,14135854,14140814,14144394,14143372,14141307,14148943,14145327,14146886,14143584,14152544,14150842,14151223,14151997,14140985,14145754,14148059,14151724,14141205,14156758
14139774,14137806,14139748,14142567,14135869,14140837,14144440,14143377,14141315,14148943,14145327,14146886,14143584,14152554,14150901,14151228,14151997,14140990,14145759,14148064,14151734,14141218,14156776
14139817,14137811,14139774,14142570,14135877,14140893,14144448,14143390,14141320,14148946,14145330,14146901,14143587,14152572,14150906,14151233,14152005,14141008,14145764,14148064,14151795,14141223,14156827
14139820,14137811,14139784,14142575,14135882,14140906,14144453,14143390,14141333,14148951,14145332,14146909,14143602,14152575,14150921,14151243,14152010,14141013,14145764,14148069,14151808,14141233,14156837
14139820,14137814,14139792,14142580,14135887,14140924,14144466,14143395,14141333,14148956,14145332,14146919,14143607,14152613,14150929,14151266,14152025,14141029,14145769,14148072,14151849,14141238,14156837
14139820,14137816,14139810,14142585,14135900,14140929,14144471,14143413,14141338,14148956,14145335,14146927,14143610,14152613,14150934,14151274,14152028,14141039,14145782,14148072,14151877,14141246,14156840
14139830,14137819,14139812,14142585,14135902,14140934,14144512,14143413,14141338,14148956,14145337,14146932,14143615,14152651,14150944,14151287,14152028,14141039,14145782,14148072,14151895,14141261,14156873
14139830,14137824,14139853,14142603,14135902,14140939,14144525,14143418,14141348,14148961,14145340,14146932,14143615,14152669,14150990,14151292,14152061,14141039,14145800,14148077,14151913,14141282,14156896
14139848,14137829,14139858,14142608,14135915,14140952,14144530,14143428,14141353,14148961,14145345,14146932,14143651,14152672,14150998,14151312,14152094,14141039,14145810,14148082,14151933,14141338,14156906
14139853,14137829,14139861,14142618,14135915,14140965,14144532,14143441,14141353,14148969,14145355,14146942,14143656,14152682,14151039,14151315,14152107,14141044,14145810,14148082,14151959,14141343,14156906
14139899,14137847,14139889,14142649,14135920,14140985,14144553,14143454,14141361,14148974,14145355,14146942,14143661,14152723,14151044,14151335,14152125,14141059,14145815,14148087,14151969,14141356,14156914
14139899,14137852,14139935,14142649,14135920,14141003,14144558,14143454,14141361,14148974,14145355,14146950,14143684,14152792,14151054,14151343,14152135,14141075,14145823,14148087,14151997,14141366,14156955
14139904,14137860,14139935,14142654,14135943,14141021,14144591,14143477,14141361,14148979,14145358,14146963,14143684,14152833,14151062,14151353,14152148,14141080,14145823,14148090,14152015,14141366,14157011
14139945,14137875,14139945,14142654,14135953,14141026,14144604,14143482,14141371,14148979,14145358,14146970,14143689,14152871,14151072,14151371,14152184,14141085,14145841,14148092,14152025,14141399,14157093
14139948,14137880,14139981,14142669,14135953,14141026,14144624,14143482,14141379,14148984,14145368,14146970,14143689,14152876,14151103,14151450,14152194,14141113,14145851,14148092,14152048,14141412,14157098
14139963,14137888,14139986,14142677,14135956,14141031,14144627,14143497,14141389,14148989,14145383,14146983,14143712,14152884,14151118,14151455,14152199,14141121,14145851,14148105,14152084,14141427,14157116
14139973,14137916,14140004,14142682,14135956,14141039,14144627,14143523,14141389,14148997,14145391,14146983,14143717,14152894,14151118,14151458,14152212,14141126,14145851,14148110,14152084,14141453,14157126
14139981,14137921,14140014,14142695,14135966,14141059,14144640,14143528,14141394,14149002,14145396,14146996,14143735,14153027,14151133,14151471,14152214,14141154,14145856,14148118,14152102,14141453,14157139
14139994,14137934,14140027,14142705,14135976,14141059,14144642,14143541,14141402,14149012,14145401,14147001,14143740,14153027,14151141,14151473,14152245,14141182,14145864,14148123,14152153,14141463,14157333
14139999,14137939,14140027,14142708,14135979,14141128,14144645,14143541,14141404,14149015,14145404,14147014,14143748,14153037,14151146,14151476,14152258,14141187,14145866,14148123,14152166,14141491,14157338
14140009,14137957,14140042,14142723,14135984,14141131,14144647,14143551,14141417,14149017,14145414,14147019,14143750,14153037,14151146,14151491,14152263,14141200,14145869,14148128,14152222,14141509,14157374
14140014,14137972,14140045,14142736,14135984,14141149,14144655,14143556,14141422,14149020,14145422,14147019,14143799,14153050,14151149,14151504,14152268,14141205,14145882,14148128,14152250,14141512,14157456
14140027,14137975,14140045,14142756,14135989,14141151,14144668,14143556,14141425,14149025,14145422,14147042,14143804,14153060,14151151,14151532,14152286,14141210,14145907,14148138,14152263,14141522,14157458
14140050,14137977,14140088,14142769,14136002,14141159,14144688,14143559,14141435,14149025,14145437,14147047,14143822,14153114,14151159,14151532,14152291,14141223,14145907,14148138,14152268,14141527,14157458
14140055,14137980,14140096,14142777,14136015,14141205,14144696,14143566,14141435,14149030,14145437,14147052,14143827,14153152,14151169,14151596,14152291,14141223,14145915,14148141,14152291,14141545,14157466
14140060,14137993,14140114,14142792,14136043,14141215,14144714,14143602,14141440,14149030,14145442,14147062,14143827,14153165,14151169,14151624,14152296,14141236,14145920,14148143,14152388,14141550,14157476
14140068,14137998,14140119,14142792,14136045,14141233,14144716,14143625,14141445,14149035,14145447,14147065,14143845,14153216,14151197,14151624,14152319,14141251,14145920,14148143,14152396,14141560,14157517
14140073,14138036,14140124,14142792,14136045,14141233,14144719,14143625,14141466,14149038,14145452,14147070,14143845,14153226,14151197,14151629,14152332,14141274,14145925,14148146,14152406,14141563,14157535
14140078,14138036,14140152,14142800,14136053,14141251,14144737,14143625,14141471,14149043,14145455,14147108,14143850,14153239,14151210,14151629,14152347,14141287,14145938,14148151,14152562,14141563,14157591
14140078,14138036,14140152,14142807,14136058,14141269,14144770,14143648,14141473,14149048,14145455,14147121,14143896,14153275,14151220,14151647,14152370,14141297,14145943,14148151,14152603,14141591,14157668
14140083,14138039,14140175,14142810,14136061,14141269,14144775,14143689,14141473,14149048,14145460,14147121,14143914,14153318,14151225,14151647,14152396,14141302,14145943,14148151,14152613,14141596,14157719
14140101,14138049,14140180,14142828,14136061,14141274,14144775,14143694,14141476,14149053,14145460,14147134,14143955,14153331,14151248,14151652,14152396,14141312,14145956,14148151,14152618,14141609,14157752
14140124,14138054,14140198,14142830,14136063,14141284,14144780,14143717,14141481,14149053,14145465,14147139,14143965,14153331,14151264,14151660,14152396,14141325,14145971,14148159,14152649,14141611,14157755
14140124,14138062,14140206,14142853,14136076,14141287,14144785,14143735,14141504,14149066,14145470,14147139,14143983,14153344,14151264,14151660,14152401,14141328,14145976,14148164,14152649,14141624,14157755
14140137,14138072,14140244,14142856,14136081,14141310,14144793,14143753,14141512,14149076,14145470,14147162,14143983,14153349,14151269,14151660,14152401,14141330,14145979,14148169,14152654,14141665,14157765
14140142,14138082,14140244,14142879,14136089,14141310,14144803,14143758,14141522,14149079,14145473,14147167,14143988,14153400,14151279,14151675,14152411,14141343,14145994,14148182,14152659,14141665,14157783
14140142,14138085,14140252,14142889,14136094,14141315,14144826,14143789,14141527,14149079,14145478,14147172,14144034,14153403,14151289,14151688,14152429,14141351,14146012,14148184,14152674,14141688,14157793
14140147,14138105,14140252,14142889,14136099,14141315,14144839,14143789,14141527,14149081,14145478,14147185,14144042,14153446,14151289,14151708,14152447,14141361,14146022,14148187,14152697,14141693,14157826
14140175,14138123,14140257,14142897,14136109,14141325,14144844,14143796,14141532,14149089,14145483,14147185,14144067,14153469,14151307,14151711,14152452,14141366,14146025,14148189,14152751,14141693,14157862
14140175,14138123,14140257,14142899,14136114,14141325,14144862,14143804,14141560,14149104,14145488,14147185,14144075,14153497,14151366,14151739,14152452,14141366,14146035,14148192,14152756,14141696,14157875
14140180,14138128,14140275,14142902,14136122,14141328,14144880,14143809,14141560,14149107,14145501,14147213,14144093,14153497,14151381,14151744,14152457,14141381,14146035,14148192,14152792,14141696,14157875
14140188,14138141,14140280,14142902,14136130,14141330,14144885,14143809,14141563,14149109,14145511,14147218,14144103,14153500,14151409,14151747,14152462,14141384,14146058,14148197,14152833,14141734,14157880
14140193,14138151,14140285,14142907,14136137,14141361,14144908,14143822,14141563,14149112,14145516,14147236,14144113,14153520,14151422,14151762,14152465,14141389,14146063,14148202,14152848,14141739,14157898
14140206,14138159,14140290,14142915,14136168,14141371,14144931,14143822,14141563,14149112,14145519,14147259,14144113,14153520,14151432,14151767,14152475,14141394,14146063,14148202,14152861,14141752,14157931
14140206,14138161,14140303,14142915,14136178,14141399,14144936,14143827,14141565,14149117,14145524,14147259,14144126,14153561,14151440,14151785,14152475,14141402,14146066,14148212,14152866,14141757,14157936
14140216,14138164,14140303,14142920,14136199,14141412,14144949,14143835,14141565,14149122,14145534,14147259,14144131,14153566,14151445,14151798,14152480,14141407,14146071,14148220,14152874,14141757,14157949
14140254,14138169,14140326,14142930,14136201,14141417,14144954,14143860,14141568,14149145,14145534,14147272,14144144,14153587,14151453,14151818,14152483,14141412,14146073,14148220,14152876,14141762,14157954
14140254,14138169,14140349,14142971,14136206,14141422,14144972,14143860,14141573,14149148,14145537,14147300,14144149,14153597,14151463,14151826,14152493,14141435,14146081,14148225,14152884,14141767,14157954
14140270,14138174,14140349,14142976,14136209,14141427,14144977,14143873,14141578,14149153,14145537,14147305,14144154,14153602,14151468,14151841,14152493,14141440,14146086,14148225,14152902,14141775,14157954
14140272,14138174,14140354,14142999,14136224,14141430,14144995,14143883,14141578,14149163,14145547,14147305,14144172,14153625,14151486,14151862,14152498,14141453,14146091,14148225,14152930,14141780,14157977
