0-BINSEARCH[56](2042){1},0-BINSEARCH[56](2042){4095},0-BINSEARCH[56](2042){2048},0-BINSEARCH[56](2042){1792},0-BINSEARCH[56](2042){1920},0-BINSEARCH[56](2042){1},0-BINSEARCH[56](2042){4095},0-BINSEARCH[56](2042){2048},0-BINSEARCH[56](2042){1792},0-BINSEARCH[56](2042){1920},0-BINSEARCH[56](2042){1856},0-BINSEARCH[56](2042){1888},0-BINSEARCH[56](2042){1904},0-BINSEARCH[56](2042){1896},0-BINSEARCH[56](2042){1892},0-BINSEARCH[56](2042){1892},0-BINSEARCH[56](2042){1894},0-BINSEARCH[56](2042){1894},0-BINSEARCH[56](2042){1895},0-BINSEARCH[56](2042){1895},0-BINSEARCH[56](2042){1894}
14153032,14153290,14154310,14157706,14157402,14159084,14153620,14146968,14158897,14149728,14158951,14159927,14148910,14149610,14152163,14158593,14150203,14158340,14150395,14149613,14147617
14155051,14153326,14154333,14157783,14157430,14159122,14153717,14147016,14158902,14149812,14158961,14159932,14148915,14149779,14152194,14158698,14151026,14158381,14150484,14149723,14147663
14155383,14153495,14154407,14157811,14157540,14159163,14153860,14147075,14158915,14149812,14159145,14159950,14148941,14149797,14152268,14158767,14151172,14158414,14150635,14149774,14147737
14155741,14153510,14154440,14157857,14157563,14159176,14153929,14147085,14158951,14149817,14159201,14159973,14148969,14149853,14152296,14158938,14151182,14158473,14150686,14149840,14147829
14156045,14153796,14154481,14157875,14157573,14159183,14153980,14147088,14158956,14149886,14159255,14160047,14149007,14149940,14152324,14158979,14151187,14158491,14150704,14149881,14147934
14156390,14154080,14154499,14157880,14157678,14159186,14153983,14147093,14158956,14149889,14159334,14160093,14149030,14149958,14152544,14159053,14151432,14158570,14150714,14150060,14148005
14156464,14154116,14154627,14157903,14157765,14159329,14153998,14147139,14158974,14149917,14159365,14160167,14149163,14149986,14152590,14159099,14151936,14158621,14150727,14150078,14148044
14156472,14154139,14154627,14157967,14157765,14159347,14154075,14147157,14158974,14149922,14159426,14160231,14149176,14150042,14153081,14159153,14152015,14158667,14150778,14150096,14148187
14156487,14154159,14154650,14158051,14157926,14159457,14154098,14147172,14158992,14149922,14159449,14160236,14149204,14150047,14153101,14159173,14152025,14158672,14151031,14150101,14148197
14156998,14154164,14154752,14158064,14157931,14159462,14154241,14147208,14159015,14149935,14159467,14160241,14149209,14150111,14153745,14159186,14152273,14158726,14151177,14150106,14148197
14157011,14154274,14154757,14158120,14158082,14159475,14154279,14147213,14159030,14149953,14159531,14160259,14149255,14150198,14153952,14159191,14152273,14158744,14151215,14150129,14148289
14157093,14154282,14154757,14158123,14158110,14159495,14154305,14147218,14159058,14150009,14159531,14160262,14149260,14150198,14154343,14159232,14152337,14158800,14151261,14150152,14148440
14157103,14154287,14154765,14158128,14158194,14159536,14154374,14147221,14159063,14150022,14159620,14160267,14149347,14150249,14154724,14159242,14152490,14158823,14151422,14150188,14148496
14157106,14154343,14154834,14158207,14158258,14159549,14154394,14147277,14159109,14150052,14159651,14160318,14149370,14150267,14154903,14159357,14152759,14158900,14151445,14150272,14148542
14157471,14154366,14154834,14158276,14158317,14159559,14154407,14147277,14159160,14150083,14159656,14160326,14149434,14150277,14155130,14159383,14154039,14158915,14151455,14150344,14148570
14157553,14154399,14154885,14158289,14158335,14159564,14154438,14147282,14159160,14150111,14159679,14160359,14149434,14150318,14155506,14159421,14154292,14158920,14151555,14150359,14148578
14157558,14154402,14154885,14158332,14158376,14159567,14154438,14147346,14159163,14150114,14159687,14160377,14149462,14150326,14155588,14159462,14155470,14158933,14151703,14150369,14148601
14157568,14154440,14154936,14158358,14158381,14159582,14154476,14147346,14159173,14150114,14159689,14160425,14149495,14150331,14155746,14159554,14155672,14158994,14151706,14150374,14148619
14157571,14154471,14154990,14158386,14158381,14159600,14154504,14147351,14159191,14150129,14159707,14160479,14149564,14150341,14155917,14159554,14155672,14159030,14151739,14150377,14148629
14157581,14154481,14155000,14158386,14158386,14159610,14154512,14147354,14159191,14150129,14159730,14160489,14149618,14150341,14156007,14159628,14155700,14159066,14151780,14150423,14148739
