0-NOMOD,0-MINOR[63],0-MAJOR[63]
4932,4927,174
4932,4927,174
4932,4927,174
4935,4927,174
4935,4927,174
4935,4927,174
4935,4927,174
4935,4927,174
4935,4930,176
4937,4930,176
4937,4930,176
4937,4932,176
4940,4932,179
4940,4932,179
4940,4932,179
4940,4935,179
4940,4935,179
4945,4935,179
4945,4935,179
4945,4935,179
4945,4935,179
4945,4937,179
4945,4937,184
4945,4940,184
4950,4940,184
4950,4940,184
4950,4940,184
4950,4940,184
4950,4940,184
4953,4945,184
4953,4945,184
4955,4945,184
4955,4945,184
4955,4945,184
4955,4945,184
4958,4945,184
4958,4945,184
4958,4945,184
4958,4945,184
4958,4945,184
4960,4945,184
4963,4945,184
4963,4945,184
4963,4945,184
4963,4950,184
4963,4950,184
4963,4950,189
4968,4950,189
4968,4950,189
4968,4950,189
4968,4950,189
4973,4953,189
4976,4955,189
4976,4955,189
4976,4958,189
4976,4958,189
4976,4958,189
4978,4958,189
4978,4960,189
4978,4960,189
4981,4960,189
4983,4960,189
4983,4963,192
4986,4963,192
4986,4963,192
4986,4963,192
4986,4968,192
4991,4968,192
4991,4968,192
4991,4968,194
4991,4968,194
4991,4968,194
4991,4973,194
4991,4973,194
4996,4973,194
4996,4973,194
4996,4973,194
4996,4973,194
4996,4973,194
4996,4976,194
4996,4976,194
4999,4978,194
5001,4978,194
5004,4978,194
5004,4978,194
5004,4981,194
5004,4981,194
5004,4981,194
5004,4981,194
5006,4983,194
5006,4983,194
5006,4986,194
5009,4986,194
5009,4991,194
5009,4991,194
5014,4991,194
5014,4991,194
5014,4996,197
5014,4996,197
5014,4996,197
5014,4996,197
5014,4999,197
5019,4999,197
5024,4999,197
5027,5001,197
5027,5004,197
5029,5004,197
5029,5004,197
5029,5004,197
5032,5004,197
5037,5004,197
5037,5004,197
5037,5006,197
5037,5006,197
5037,5006,197
5037,5006,197
5037,5006,197
5037,5006,197
5042,5006,197
5042,5009,197
5050,5009,197
5052,5009,197
5055,5009,197
5060,5009,197
5060,5014,197
5060,5014,197
5060,5014,197
5060,5014,197
5060,5014,197
5065,5014,197
5065,5019,199
5068,5019,199
5068,5019,199
5070,5019,199
5070,5019,199
5070,5019,199
5070,5022,199
5070,5024,199
5070,5027,199
5073,5027,199
5073,5027,199
5078,5027,199
5078,5029,199
5078,5032,202
5078,5032,202
5078,5032,202
5083,5037,202
5083,5037,202
5083,5037,202
5083,5037,202
5083,5037,202
5083,5042,202
5088,5042,202
5088,5042,202
5091,5042,202
5093,5042,202
5093,5042,202
5093,5047,202
5096,5047,202
5096,5047,202
5096,5047,202
5096,5050,202
5098,5050,202
5101,5050,202
5101,5052,202
5101,5055,202
5106,5055,202
5106,5055,202
5106,5060,202
5106,5060,202
5111,5060,202
5114,5065,202
5116,5065,202
5116,5065,202
5116,5068,202
5119,5070,202
5119,5070,202
5119,5070,202
5119,5070,202
5119,5073,202
5119,5078,207
5119,5078,207
5121,5078,207
5124,5078,207
5124,5083,207
5129,5083,207
5129,5088,207
5129,5088,207
5129,5088,207
5129,5093,207
5142,5098,207
5147,5106,207
5147,5111,207
5157,5111,207
5157,5111,207
5157,5111,207
5157,5116,207
5162,5116,207
5162,5116,207
5167,5119,207
5170,5121,207
5170,5124,207
5175,5129,207
5185,5129,207
5185,5134,207
5188,5134,207
5188,5142,207
5193,5142,207
5198,5152,207
5203,5152,207
5216,5157,207
5216,5157,207
5221,5157,207
5221,5157,212
5221,5160,212
5221,5165,212
5229,5170,212
5239,5170,212
5239,5180,212
5244,5188,212
5244,5188,212
5244,5188,212
5249,5188,212
5254,5190,212
5257,5193,212
5257,5193,212
5262,5198,212
5267,5198,215
5272,5203,215
5272,5208,215
5272,5213,215
5280,5216,215
5280,5239,215
5280,5239,217
5290,5239,217
5308,5244,217
5318,5244,217
5341,5249,217
5346,5254,217
5359,5277,217
5364,5285,217
5372,5285,217
5372,5318,220
5377,5321,220
5382,5321,220
5382,5336,220
5382,5364,220
5400,5364,220
5405,5372,220
5418,5372,222
5423,5382,225
5428,5387,225
5428,5392,225
5441,5392,225
5441,5397,230
5451,5418,230
5456,5446,230
5456,5456,235
5461,5456,235
5474,5474,235
5479,5474,240
5492,5492,243
5497,5492,276
5515,5515,281
5543,5515,281
5561,5520,281
5566,5520,289
5566,5571,304
5574,5579,312
5612,5581,317
5640,5599,322
5658,5612,322
5704,5612,335
5727,5617,345
5750,5620,350
5758,5640,368
5837,5737,373
5852,5755,373
5911,5829,386
