0-NOMOD,0-MINOR[63],0-MAJOR[63]
14150574,14149978,14146748
14150579,14150019,14146753
14150584,14150027,14146753
14150599,14150029,14146758
14150612,14150029,14146784
14150630,14150042,14146807
14150635,14150055,14146817
14150645,14150073,14146817
14150658,14150083,14146827
14150663,14150083,14146840
14150681,14150121,14146840
14150681,14150124,14146845
14150681,14150137,14146848
14150714,14150147,14146853
14150717,14150157,14146858
14150722,14150170,14146863
14150732,14150175,14146863
14150742,14150180,14146868
14150745,14150203,14146871
14150745,14150203,14146873
14150750,14150216,14146886
14150773,14150231,14146904
14150778,14150231,14146909
14150778,14150244,14146909
14150781,14150257,14146914
14150783,14150290,14146914
14150796,14150300,14146942
14150796,14150303,14146955
14150796,14150313,14146965
14150801,14150321,14146968
14150814,14150341,14146986
14150814,14150369,14146996
14150819,14150372,14147019
14150832,14150374,14147029
14150832,14150382,14147037
14150847,14150392,14147042
14150847,14150392,14147060
14150855,14150395,14147083
14150906,14150400,14147103
14150919,14150405,14147103
14150924,14150405,14147116
14150944,14150456,14147124
14150944,14150464,14147139
14150944,14150474,14147144
14150947,14150489,14147147
14150952,14150492,14147152
14150952,14150497,14147162
14150957,14150512,14147198
14150962,14150528,14147208
14150967,14150530,14147208
14150980,14150530,14147216
14150980,14150553,14147226
14150980,14150556,14147231
14150985,14150556,14147254
14150993,14150599,14147254
14151003,14150604,14147282
14151003,14150607,14147282
14151003,14150620,14147292
14151008,14150635,14147292
14151036,14150681,14147292
14151036,14150694,14147300
14151041,14150696,14147300
14151049,14150699,14147305
14151049,14150704,14147310
14151057,14150727,14147318
14151085,14150732,14147333
14151090,14150740,14147346
14151105,14150740,14147346
14151108,14150745,14147351
14151113,14150745,14147354
14151113,14150783,14147359
14151118,14150783,14147369
14151118,14150801,14147374
14151118,14150819,14147374
14151118,14150829,14147382
14151123,14150860,14147397
14151141,14150860,14147407
14151149,14150865,14147423
14151154,14150870,14147443
14151159,14150952,14147443
14151164,14150957,14147446
14151169,14150980,14147451
14151187,14150990,14147461
14151200,14150998,14147466
14151205,14150998,14147466
14151218,14150998,14147466
14151220,14151008,14147466
14151228,14151008,14147474
14151238,14151011,14147497
14151238,14151026,14147520
14151243,14151031,14147525
14151246,14151054,14147543
14151256,14151064,14147543
14151261,14151077,14147548
14151264,14151080,14147553
14151266,14151082,14147566
14151266,14151095,14147566
14151279,14151105,14147566
14151284,14151110,14147571
14151292,14151131,14147586
14151297,14151136,14147589
14151302,14151136,14147594
14151307,14151141,14147612
14151325,14151146,14147612
14151335,14151164,14147622
14151338,14151177,14147637
14151348,14151182,14147640
14151356,14151187,14147645
14151361,14151192,14147650
14151366,14151192,14147668
14151371,14151192,14147706
14151371,14151197,14147719
14151379,14151202,14147724
14151381,14151210,14147747
14151384,14151215,14147770
14151389,14151215,14147773
14151417,14151225,14147775
14151425,14151228,14147783
14151430,14151228,14147793
14151445,14151228,14147796
14151445,14151233,14147806
14151448,14151246,14147829
14151453,14151246,14147834
14151458,14151261,14147842
14151468,14151264,14147862
14151476,14151294,14147870
14151496,14151302,14147870
14151499,14151307,14147898
14151499,14151315,14147911
14151504,14151325,14147916
14151504,14151333,14147921
14151509,14151338,14147921
14151514,14151340,14147926
14151537,14151343,14147926
14151542,14151363,14147929
14151542,14151366,14147931
14151550,14151371,14147934
14151555,14151376,14147944
14151555,14151381,14147980
14151560,14151394,14147985
14151565,14151399,14148000
14151573,14151399,14148008
14151573,14151404,14148026
14151578,14151417,14148026
14151583,14151422,14148028
14151583,14151422,14148059
14151588,14151430,14148069
14151588,14151430,14148069
14151588,14151445,14148082
14151601,14151453,14148092
14151609,14151453,14148095
14151619,14151458,14148095
14151634,14151471,14148097
14151639,14151486,14148100
14151647,14151496,14148105
14151647,14151496,14148110
14151652,14151499,14148118
14151652,14151514,14148118
14151662,14151517,14148123
14151670,14151527,14148123
14151680,14151532,14148128
14151683,14151540,14148128
14151688,14151547,14148133
14151698,14151560,14148138
14151721,14151560,14148143
14151734,14151560,14148146
14151739,14151568,14148151
14151744,14151573,14148184
14151757,14151578,14148189
14151762,14151578,14148197
14151762,14151578,14148197
14151775,14151591,14148205
14151785,14151596,14148243
14151785,14151611,14148256
14151800,14151619,14148271
14151803,14151629,14148279
14151803,14151642,14148284
14151808,14151647,14148289
14151813,14151655,14148289
14151818,14151662,14148294
14151826,14151665,14148312
14151836,14151665,14148317
14151844,14151665,14148317
14151854,14151670,14148322
14151862,14151670,14148325
14151864,14151680,14148325
14151877,14151683,14148330
14151882,14151693,14148340
14151895,14151693,14148348
14151895,14151701,14148363
14151913,14151703,14148363
14151915,14151708,14148386
14151918,14151724,14148391
14151951,14151744,14148399
14151959,14151752,14148409
14151964,14151752,14148409
14151977,14151757,14148419
14151979,14151762,14148422
14151979,14151770,14148427
14151984,14151772,14148440
14151992,14151785,14148445
14152010,14151790,14148450
14152015,14151821,14148455
14152020,14151831,14148455
14152020,14151836,14148458
14152020,14151849,14148473
14152025,14151849,14148478
14152028,14151859,14148486
14152038,14151872,14148501
14152046,14151877,14148509
14152048,14151882,14148519
14152056,14151882,14148524
14152069,14151895,14148529
14152069,14151900,14148529
14152074,14151900,14148565
14152079,14151905,14148570
14152084,14151918,14148593
14152089,14151923,14148619
14152089,14151923,14148634
14152089,14151933,14148639
14152089,14151941,14148639
14152094,14151946,14148644
14152099,14151964,14148657
14152102,14151969,14148667
14152102,14151969,14148680
14152112,14151969,14148680
14152125,14151974,14148690
14152125,14151979,14148693
14152130,14151982,14148698
14152135,14151987,14148703
14152143,14151992,14148708
14152143,14151992,14148716
14152148,14151997,14148718
